"","Date of Payment","Expense type","Expense Area","Supplier","Transaction Number","Amount","Department and Entity"
"202",2013-08-12,"CATERING SUPPLIES","SUPPORT SERVICES","BWT UK LTD",5100292231,1368.65,"United Kingdom Atomic Energy Authority"
"203",2013-08-12,"MATERIALS & SPARES","FUSION","CANBERRA UK LTD",5100292425,665,"United Kingdom Atomic Energy Authority"
"204",2013-08-19,"MATERIALS & SPARES","FUSION","CANBERRA UK LTD",5100292659,1412,"United Kingdom Atomic Energy Authority"
"205",2013-08-12,"CONSUMABLES","FUSION","CAPARO TESTING TECHNOLOGIES",5100292300,360,"United Kingdom Atomic Energy Authority"
"206",2013-08-19,"TRAVEL","SUPPORT SERVICES","CAPITA BUSINESS TRAVEL",5100292246,28146.51,"United Kingdom Atomic Energy Authority"
"207",2013-07-29,"CONSUMABLES","FUSION","CARILLON INDUSTRIAL SERVICES LTD",5100291907,69.86,"United Kingdom Atomic Energy Authority"
"208",2013-08-12,"CONSUMABLES","FUSION","CARILLON INDUSTRIAL SERVICES LTD",5100292316,82.57,"United Kingdom Atomic Energy Authority"
"209",2013-07-29,"LEGAL FEES","SUPPORT SERVICES","CATER LEYDON MILLARD LTD",5100291948,175,"United Kingdom Atomic Energy Authority"
"210",2013-07-29,"LEGAL FEES","SUPPORT SERVICES","CATER LEYDON MILLARD LTD",5100291947,210,"United Kingdom Atomic Energy Authority"
"211",2013-07-29,"LEGAL FEES","SUPPORT SERVICES","CATER LEYDON MILLARD LTD",5100291946,1312.5,"United Kingdom Atomic Energy Authority"
"212",2013-08-14,"MATERIALS & SPARES","FUSION","CBL ELECTRIC VEHICLES LTD",5100292309,284.8,"United Kingdom Atomic Energy Authority"
"213",2013-08-19,"CONFERENCES/MEETINGS","SUPPORT SERVICES","CERN",1900058682,238.82,"United Kingdom Atomic Energy Authority"
"214",2013-08-12,"LAUNDRY","FUSION","CLEAN LINEN SERVICES LTD",5100292255,80.9,"United Kingdom Atomic Energy Authority"
"215",2013-08-19,"PROFESSIONAL SERVICES","SUPPORT SERVICES","CLYDE & CO LLP",5100292621,1010.5,"United Kingdom Atomic Energy Authority"
"216",2013-08-19,"PROFESSIONAL SERVICES","SUPPORT SERVICES","CLYDE & CO LLP",5100292620,1034,"United Kingdom Atomic Energy Authority"
"217",2013-08-12,"UTILITIES/GAS","PROPERTY","COFELY LTD",5100292285,20044.73,"United Kingdom Atomic Energy Authority"
"218",2013-08-12,"UTILITIES/GAS","PROPERTY","COFELY LTD",5100292288,26582.5,"United Kingdom Atomic Energy Authority"
"219",2013-08-12,"PLANT & EQUIPMENT","FUSION","COLE-PALMER INSTRUMENTAL COMPANY LTD",5100292352,497.95,"United Kingdom Atomic Energy Authority"
"220",2013-07-31,"EFDA SECONDEE CONTRACT","FUSION","COMMISSARIAT L ENERGIE ATOMIQUE CEA",5100291378,11736.49,"United Kingdom Atomic Energy Authority"
"221",2013-07-31,"COMPENSATION & LEGAL FEES","SUPPORT SERVICES","CLYDE & CO LLP",1900058586,5000,"United Kingdom Atomic Energy Authority"
"222",2013-07-29,"REPAIRS & MAINTENANCE","FUSION","COMPRESSOR ENGINEERING LTD",5100291233,752,"United Kingdom Atomic Energy Authority"
"223",2013-07-29,"PLANT SPARES","FUSION","CONDEC INDUSTRIAL MAINTENANCE",5100291879,325,"United Kingdom Atomic Energy Authority"
"224",2013-07-29,"PLANT SPARES","FUSION","CONDEC INDUSTRIAL MAINTENANCE",5100291843,920,"United Kingdom Atomic Energy Authority"
"225",2013-08-12,"PROFESSIONAL SERVICES","PROPERTY","CONNAUGHT COMPLIANCE SERVICES LTD",5100292235,456,"United Kingdom Atomic Energy Authority"
"226",2013-08-12,"PROFESSIONAL SERVICES","PROPERTY","CONNAUGHT COMPLIANCE SERVICES LTD",5100292234,500,"United Kingdom Atomic Energy Authority"
"227",2013-07-29,"PROFESSIONAL SERVICES","PROPERTY","CONNAUGHT COMPLIANCE SERVICES LTD",5100291977,1590,"United Kingdom Atomic Energy Authority"
"228",2013-08-19,"MATERIALS & SPARES","FUSION","CPC PLC",5100292580,18.42,"United Kingdom Atomic Energy Authority"
"229",2013-08-05,"MATERIALS & SPARES","FUSION","CPC PLC",5100292082,20.79,"United Kingdom Atomic Energy Authority"
"230",2013-07-29,"MATERIALS & SPARES","FUSION","CPC PLC",5100291864,86.48,"United Kingdom Atomic Energy Authority"
"231",2013-08-05,"MATERIALS & SPARES","FUSION","CPC PLC",5100292083,100.63,"United Kingdom Atomic Energy Authority"
"232",2013-07-29,"MATERIALS & SPARES","FUSION","CPC PLC",5100291863,192.2,"United Kingdom Atomic Energy Authority"
"233",2013-08-12,"MATERIALS & SPARES","FUSION","CPC PLC",5100292081,340.55,"United Kingdom Atomic Energy Authority"
"234",2013-07-29,"REPAIRS & MAINTENANCE","FUSION","CRANE CARE LTD",5100291853,7080,"United Kingdom Atomic Energy Authority"
"235",2013-07-29,"MATERIALS & SPARES","FUSION","CROMWELL LTD",5100292027,7.8,"United Kingdom Atomic Energy Authority"
"236",2013-08-12,"MATERIALS & SPARES","FUSION","CROMWELL LTD",5100292325,12.63,"United Kingdom Atomic Energy Authority"
"237",2013-08-12,"MATERIALS & SPARES","FUSION","CROMWELL LTD",5100292326,12.63,"United Kingdom Atomic Energy Authority"
"238",2013-07-29,"MATERIALS & SPARES","FUSION","CROMWELL LTD",5100292024,15.59,"United Kingdom Atomic Energy Authority"
"239",2013-08-12,"MATERIALS & SPARES","FUSION","CROMWELL LTD",5100292437,82.12,"United Kingdom Atomic Energy Authority"
"240",2013-07-31,"MATERIALS & SPARES","FUSION","CROMWELL LTD",5100291704,89.99,"United Kingdom Atomic Energy Authority"
"241",2013-08-05,"MATERIALS & SPARES","FUSION","CROMWELL LTD",5100292025,108.62,"United Kingdom Atomic Energy Authority"
"242",2013-08-19,"MATERIALS & SPARES","FUSION","CROMWELL LTD",5100292666,108.66,"United Kingdom Atomic Energy Authority"
"243",2013-07-29,"MATERIALS & SPARES","FUSION","CROMWELL LTD",5100292026,112.86,"United Kingdom Atomic Energy Authority"
"244",2013-08-12,"MATERIALS & SPARES","FUSION","CROMWELL LTD",5100292327,142.79,"United Kingdom Atomic Energy Authority"
"245",2013-08-12,"MATERIALS & SPARES","FUSION","CROMWELL LTD",5100292436,145.37,"United Kingdom Atomic Energy Authority"
"246",2013-08-12,"MATERIALS & SPARES","FUSION","CROMWELL LTD",5100292330,197.1,"United Kingdom Atomic Energy Authority"
"247",2013-08-12,"MATERIALS & SPARES","FUSION","CROMWELL LTD",5100292329,250.77,"United Kingdom Atomic Energy Authority"
"248",2013-08-05,"REPAIRS & MAINTENANCE","FUSION","CROWCON DETECTION INSTRUMENTS LTD",5100292089,54.59,"United Kingdom Atomic Energy Authority"
"249",2013-07-29,"REPAIRS & MAINTENANCE","FUSION","CROWCON DETECTION INSTRUMENTS LTD",5100291909,445.86,"United Kingdom Atomic Energy Authority"
"250",2013-07-31,"REPAIRS & MAINTENANCE","FUSION","CROWCON DETECTION INSTRUMENTS LTD",5100291881,590.69,"United Kingdom Atomic Energy Authority"
"251",2013-07-29,"REPAIRS & MAINTENANCE","FUSION","CROWCON DETECTION INSTRUMENTS LTD",5100291882,800,"United Kingdom Atomic Energy Authority"
"252",2013-07-29,"PROFESSIONAL SERVICES","SUPPORT SERVICES","CSC COMPUTER SERVICES",5100291951,12417.55,"United Kingdom Atomic Energy Authority"
"253",2013-08-19,"PROFESSIONAL SERVICES","SUPPORT SERVICES","CSC COMPUTER SERVICES",5100292700,13599.4,"United Kingdom Atomic Energy Authority"
"254",2013-08-19,"PROFESSIONAL SERVICES","SUPPORT SERVICES","CSC COMPUTER SERVICES",5100292703,23033.56,"United Kingdom Atomic Energy Authority"
"255",2013-08-21,"PLANT SPARES","FUSION","CSE INDUSTRIAL ELECTRICAL DISTRIBUT",5100292741,9.5,"United Kingdom Atomic Energy Authority"
"256",2013-08-21,"PLANT SPARES","FUSION","CSE INDUSTRIAL ELECTRICAL DISTRIBUT",5100292599,32.99,"United Kingdom Atomic Energy Authority"
"257",2013-08-19,"PLANT SPARES","FUSION","CSE INDUSTRIAL ELECTRICAL DISTRIBUT",5100292598,455.58,"United Kingdom Atomic Energy Authority"
"258",2013-07-29,"PROFESSIONAL SERVICES","SUPPORT SERVICES","CSS WORKSAFE",5100291638,750,"United Kingdom Atomic Energy Authority"
"259",2013-08-14,"PLANT SPARES","FUSION","CUTWEL LTD",5100292472,65.67,"United Kingdom Atomic Energy Authority"
"260",2013-07-31,"PLANT SPARES","FUSION","CUTWEL LTD",5100291950,115.3,"United Kingdom Atomic Energy Authority"
"261",2013-08-19,"PLANT SPARES","FUSION","CUTWEL LTD",5100292557,118.34,"United Kingdom Atomic Energy Authority"
"262",2013-08-05,"MATERIALS & SPARES","FUSION","CYCLOPS ELECTRONICS LIMITED",5100292213,4080,"United Kingdom Atomic Energy Authority"
"263",2013-08-05,"CONSUMABLES","FUSION","CYFAS SYSTEMS LTD",5100292076,350,"United Kingdom Atomic Energy Authority"
"264",2013-08-19,"BUILDING REPAIRS","FUSION","D CLOUGH LTD",5100292706,2401.57,"United Kingdom Atomic Energy Authority"
"265",2013-08-12,"PROFESSIONAL SERVICES","FUSION","DCL FUSION",5100292441,213,"United Kingdom Atomic Energy Authority"
"266",2013-08-12,"CONSULTANCY","SUPPORT SERVICES","DENTONS UKMEA LLP",5100292302,1500,"United Kingdom Atomic Energy Authority"
"267",2013-07-29,"PROFESSIONAL SERVICES","FUSION","DESIGNRULE LTD",5100291875,50,"United Kingdom Atomic Energy Authority"
"268",2013-08-14,"PLANT & EQUIPMENT","FUSION","DIGIKEY CORPORATION",5100292244,545.02,"United Kingdom Atomic Energy Authority"
"269",2013-08-12,"PROFESSIONAL SERVICES","SUPPORT SERVICES","DISCLOSURE SCOTLAND",5100292474,125,"United Kingdom Atomic Energy Authority"
"270",2013-08-12,"PROFESSIONAL SERVICES","SUPPORT SERVICES","DISCLOSURE SCOTLAND",5100292420,375,"United Kingdom Atomic Energy Authority"
"271",2013-07-29,"PROFESSIONAL SERVICES","SUPPORT SERVICES","DISCLOSURE SCOTLAND",5100291764,525,"United Kingdom Atomic Energy Authority"
"272",2013-08-13,"PLANT & EQUIPMENT","FUSION","DMV UK",1900058659,2592,"United Kingdom Atomic Energy Authority"
"273",2013-07-29,"PAYROLL BUREAU","SUPPORT SERVICES","DOUNREAY SITE RESTORATION LTD",5100291872,1931,"United Kingdom Atomic Energy Authority"
"274",2013-08-05,"MATERIALS & SPARES","FUSION","DURBIN METAL INDUSTRIES LTD",5100292029,-65.6,"United Kingdom Atomic Energy Authority"
"275",2013-08-05,"MATERIALS & SPARES","FUSION","DURBIN METAL INDUSTRIES LTD",5100292078,12.5,"United Kingdom Atomic Energy Authority"
"276",2013-08-12,"MATERIALS & SPARES","FUSION","DURBIN METAL INDUSTRIES LTD",5100292479,22.1,"United Kingdom Atomic Energy Authority"
"277",2013-08-12,"MATERIALS & SPARES","FUSION","DURBIN METAL INDUSTRIES LTD",5100292223,24.1,"United Kingdom Atomic Energy Authority"
"278",2013-08-12,"MATERIALS & SPARES","FUSION","DURBIN METAL INDUSTRIES LTD",5100292350,31.95,"United Kingdom Atomic Energy Authority"
"279",2013-08-05,"MATERIALS & SPARES","FUSION","DURBIN METAL INDUSTRIES LTD",5100292134,42,"United Kingdom Atomic Energy Authority"
"280",2013-08-12,"MATERIALS & SPARES","FUSION","DURBIN METAL INDUSTRIES LTD",5100292221,88.4,"United Kingdom Atomic Energy Authority"
"281",2013-08-12,"MATERIALS & SPARES","FUSION","DURBIN METAL INDUSTRIES LTD",5100292222,98.5,"United Kingdom Atomic Energy Authority"
"282",2013-08-12,"MATERIALS & SPARES","FUSION","DURBIN METAL INDUSTRIES LTD",5100292170,107.5,"United Kingdom Atomic Energy Authority"
"283",2013-08-05,"MATERIALS & SPARES","FUSION","DURBIN METAL INDUSTRIES LTD",5100292079,125,"United Kingdom Atomic Energy Authority"
"284",2013-08-05,"MATERIALS & SPARES","FUSION","DURBIN METAL INDUSTRIES LTD",5100292058,143.55,"United Kingdom Atomic Energy Authority"
"285",2013-08-12,"MATERIALS & SPARES","FUSION","DURBIN METAL INDUSTRIES LTD",5100292477,165,"United Kingdom Atomic Energy Authority"
"286",2013-08-21,"MATERIALS & SPARES","FUSION","DURBIN METAL INDUSTRIES LTD",5100292660,433.4,"United Kingdom Atomic Energy Authority"
"287",2013-08-12,"MATERIALS & SPARES","FUSION","DURBIN METAL INDUSTRIES LTD",5100292478,1230.7,"United Kingdom Atomic Energy Authority"
"288",2013-08-15,"ROAD TRAVEL","PROPERTY","DVLA",1900058673,25,"United Kingdom Atomic Energy Authority"
"289",2013-08-12,"UTILITIES/ELECTRICITY","PROPERTY","EDF ENERGY",5100292323,67.75,"United Kingdom Atomic Energy Authority"
"290",2013-08-12,"UTILITIES/ELECTRICITY","PROPERTY","EDF ENERGY",5100292390,404.95,"United Kingdom Atomic Energy Authority"
"291",2013-08-12,"UTILITIES/ELECTRICITY","PROPERTY","EDF ENERGY",5100292385,784.59,"United Kingdom Atomic Energy Authority"
"292",2013-08-12,"UTILITIES/ELECTRICITY","PROPERTY","EDF ENERGY",5100292387,2102.39,"United Kingdom Atomic Energy Authority"
"293",2013-08-12,"UTILITIES/ELECTRICITY","PROPERTY","EDF ENERGY",5100292391,3590.53,"United Kingdom Atomic Energy Authority"
"294",2013-08-12,"UTILITIES/ELECTRICITY","PROPERTY","EDF ENERGY",5100292393,10176.95,"United Kingdom Atomic Energy Authority"
"295",2013-08-12,"UTILITIES/ELECTRICITY","PROPERTY","EDF ENERGY",5100292386,33173.62,"United Kingdom Atomic Energy Authority"
"296",2013-08-12,"UTILITIES/ELECTRICITY","PROPERTY","EDF ENERGY",5100292389,33731.66,"United Kingdom Atomic Energy Authority"
"297",2013-08-12,"UTILITIES/ELECTRICITY","FUSION","EDF ENERGY",5100292324,84015.41,"United Kingdom Atomic Energy Authority"
"298",2013-08-12,"UTILITIES/ELECTRICITY","FUSION","EDF ENERGY",5100292394,362395.64,"United Kingdom Atomic Energy Authority"
"299",2013-08-05,"PROFESSIONAL SERVICES","FUSION","EDM PRECISION TECHNOLOGIES",5100292077,52192.75,"United Kingdom Atomic Energy Authority"
"300",2013-07-29,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICAL LTD",5100291905,797.16,"United Kingdom Atomic Energy Authority"
"301",2013-08-05,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100292061,14.49,"United Kingdom Atomic Energy Authority"
"302",2013-08-12,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100292430,25.21,"United Kingdom Atomic Energy Authority"
"303",2013-08-05,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100291473,40.56,"United Kingdom Atomic Energy Authority"
"304",2013-08-14,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100292266,60.27,"United Kingdom Atomic Energy Authority"
"305",2013-08-05,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100292062,100.07,"United Kingdom Atomic Energy Authority"
"306",2013-08-19,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100292588,101.39,"United Kingdom Atomic Energy Authority"
"307",2013-08-19,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100292576,104.25,"United Kingdom Atomic Energy Authority"
"308",2013-08-12,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100292261,157.73,"United Kingdom Atomic Energy Authority"
"309",2013-08-05,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100292064,178.5,"United Kingdom Atomic Energy Authority"
"310",2013-08-14,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100292263,202.78,"United Kingdom Atomic Energy Authority"
"311",2013-07-29,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100292022,204.58,"United Kingdom Atomic Energy Authority"
"312",2013-08-19,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100292587,272.06,"United Kingdom Atomic Energy Authority"
"313",2013-07-29,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100291655,319.13,"United Kingdom Atomic Energy Authority"
"314",2013-07-29,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100291657,324.72,"United Kingdom Atomic Energy Authority"
"315",2013-08-19,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100292577,421.44,"United Kingdom Atomic Energy Authority"
"316",2013-08-19,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100292586,458.86,"United Kingdom Atomic Energy Authority"
"317",2013-08-05,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100291904,477.16,"United Kingdom Atomic Energy Authority"
"318",2013-08-05,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100292063,886.16,"United Kingdom Atomic Energy Authority"
"319",2013-08-12,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100292428,1476.33,"United Kingdom Atomic Energy Authority"
"320",2013-07-29,"PLANT & EQUIPMENT","FUSION","EDMUNDSON ELECTRICALS LTD",5100291906,2453.52,"United Kingdom Atomic Energy Authority"
"321",2013-08-05,"F&F","PROPERTY","EFG MATTHEWS OFFICE FURNITURE LTD",5100292092,140,"United Kingdom Atomic Energy Authority"
"322",2013-08-05,"F&F","FUSION","EFG MATTHEWS OFFICE FURNITURE LTD",5100292093,193.2,"United Kingdom Atomic Energy Authority"
"323",2013-08-05,"F&F","SUPPORT SERVICES","EFG MATTHEWS OFFICE FURNITURE LTD",5100292220,305.64,"United Kingdom Atomic Energy Authority"
"324",2013-08-19,"F&F","PROPERTY","EFG MATTHEWS OFFICE FURNITURE LTD",5100292583,311,"United Kingdom Atomic Energy Authority"
"325",2013-08-07,"F&F","SUPPORT SERVICES","EFG MATTHEWS OFFICE FURNITURE LTD",5100292259,962.32,"United Kingdom Atomic Energy Authority"
"326",2013-08-07,"F&F","PROPERTY","EFG MATTHEWS OFFICE FURNITURE LTD",5100292258,2137.46,"United Kingdom Atomic Energy Authority"
"327",2013-08-12,"F&F","PROPERTY","EFG MATTHEWS OFFICE FURNITURE LTD",5100292256,2272.56,"United Kingdom Atomic Energy Authority"
"328",2013-08-12,"F&F","SUPPORT SERVICES","EFG MATTHEWS OFFICE FURNITURE LTD",5100292257,4554.92,"United Kingdom Atomic Energy Authority"
"329",2013-07-29,"MATERIALS & SPARES","FUSION","ELECTRICAL OIL SERVICES LTD",5100291908,473.19,"United Kingdom Atomic Energy Authority"
"330",2013-08-23,"TRAINING COURSE FEES","FUSION","EMBL ",1900058716,25803.98,"United Kingdom Atomic Energy Authority"
"331",2013-08-03,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694160,1,"United Kingdom Atomic Energy Authority"
"332",2013-08-23,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694374,1.66,"United Kingdom Atomic Energy Authority"
"333",2013-08-03,"RAIL TRAVEL","FUSION","EMPLOYEE EXPENSES",100694164,1.73,"United Kingdom Atomic Energy Authority"
"334",2013-08-03,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694157,1.74,"United Kingdom Atomic Energy Authority"
"335",2013-08-03,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694157,1.75,"United Kingdom Atomic Energy Authority"
"336",2013-08-23,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694369,3,"United Kingdom Atomic Energy Authority"
"337",2013-08-03,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694156,3.37,"United Kingdom Atomic Energy Authority"
"338",2013-08-17,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694274,3.38,"United Kingdom Atomic Energy Authority"
"339",2013-08-17,"OTHER EMPLOYEE EXPENSES","FUSION","EMPLOYEE EXPENSES",100694274,3.39,"United Kingdom Atomic Energy Authority"
"340",2013-08-23,"RAIL TRAVEL","FUSION","EMPLOYEE EXPENSES",100694371,3.4,"United Kingdom Atomic Energy Authority"
"341",2013-08-17,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694280,3.42,"United Kingdom Atomic Energy Authority"
"342",2013-08-03,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694158,4.2,"United Kingdom Atomic Energy Authority"
"343",2013-08-03,"ROAD TRAVEL","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694155,4.75,"United Kingdom Atomic Energy Authority"
"344",2013-08-17,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694273,5,"United Kingdom Atomic Energy Authority"
"345",2013-08-23,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694370,5,"United Kingdom Atomic Energy Authority"
"346",2013-08-23,"SUBSISTENCE","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694376,5,"United Kingdom Atomic Energy Authority"
"347",2013-08-10,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694219,5.17,"United Kingdom Atomic Energy Authority"
"348",2013-08-08,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694205,5.17,"United Kingdom Atomic Energy Authority"
"349",2013-08-08,"MILEAGE ALLOWANCE","FUSION","EMPLOYEE EXPENSES",100694205,5.4,"United Kingdom Atomic Energy Authority"
"350",2013-08-23,"TAXIS","FUSION","EMPLOYEE EXPENSES",100694365,5.58,"United Kingdom Atomic Energy Authority"
"351",2013-08-17,"OTHER EMPLOYEE EXPENSES","FUSION","EMPLOYEE EXPENSES",100694280,5.99,"United Kingdom Atomic Energy Authority"
"352",2013-08-03,"ROAD TRAVEL","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694151,6.2,"United Kingdom Atomic Energy Authority"
"353",2013-08-10,"MILEAGE ALLOWANCE","FUSION","EMPLOYEE EXPENSES",100694219,6.3,"United Kingdom Atomic Energy Authority"
"354",2013-08-03,"MILEAGE ALLOWANCE","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694151,6.3,"United Kingdom Atomic Energy Authority"
"355",2013-08-23,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694371,6.53,"United Kingdom Atomic Energy Authority"
"356",2013-08-03,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694153,6.54,"United Kingdom Atomic Energy Authority"
"357",2013-08-03,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694158,7,"United Kingdom Atomic Energy Authority"
"358",2013-08-03,"TAXIS","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694167,7,"United Kingdom Atomic Energy Authority"
"359",2013-08-10,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694221,7.04,"United Kingdom Atomic Energy Authority"
"360",2013-08-10,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694219,7.1,"United Kingdom Atomic Energy Authority"
"361",2013-08-08,"MILEAGE ALLOWANCE","FUSION","EMPLOYEE EXPENSES",100694203,7.2,"United Kingdom Atomic Energy Authority"
"362",2013-08-23,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694369,8.08,"United Kingdom Atomic Energy Authority"
"363",2013-08-23,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694364,8.17,"United Kingdom Atomic Energy Authority"
"364",2013-08-03,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694154,8.37,"United Kingdom Atomic Energy Authority"
"365",2013-08-03,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694159,9,"United Kingdom Atomic Energy Authority"
"366",2013-08-23,"RAIL TRAVEL","FUSION","EMPLOYEE EXPENSES",100694369,9,"United Kingdom Atomic Energy Authority"
"367",2013-08-23,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694364,9.02,"United Kingdom Atomic Energy Authority"
"368",2013-08-03,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694158,9.2,"United Kingdom Atomic Energy Authority"
"369",2013-08-17,"TAXIS","FUSION","EMPLOYEE EXPENSES",100694279,9.28,"United Kingdom Atomic Energy Authority"
"370",2013-08-08,"RAIL TRAVEL","FUSION","EMPLOYEE EXPENSES",100694205,10.3,"United Kingdom Atomic Energy Authority"
"371",2013-08-08,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694208,10.76,"United Kingdom Atomic Energy Authority"
"372",2013-08-03,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694158,11,"United Kingdom Atomic Energy Authority"
"373",2013-08-03,"MILEAGE ALLOWANCE","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694155,12.6,"United Kingdom Atomic Energy Authority"
"374",2013-08-23,"RAIL TRAVEL","FUSION","EMPLOYEE EXPENSES",100694369,14.06,"United Kingdom Atomic Energy Authority"
"375",2013-08-08,"MILEAGE ALLOWANCE","FUSION","EMPLOYEE EXPENSES",100694204,14.4,"United Kingdom Atomic Energy Authority"
"376",2013-08-17,"PROFESSIONAL SUBSCRIPTION","FUSION","EMPLOYEE EXPENSES",100694276,15,"United Kingdom Atomic Energy Authority"
"377",2013-08-17,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694278,16.69,"United Kingdom Atomic Energy Authority"
"378",2013-08-17,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694277,17.4,"United Kingdom Atomic Energy Authority"
"379",2013-08-03,"MILEAGE ALLOWANCE","FUSION","EMPLOYEE EXPENSES",100694161,18.9,"United Kingdom Atomic Energy Authority"
"380",2013-08-10,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694220,19.62,"United Kingdom Atomic Energy Authority"
"381",2013-08-03,"TAXIS","FUSION","EMPLOYEE EXPENSES",100694152,21.18,"United Kingdom Atomic Energy Authority"
"382",2013-08-23,"TAXIS","FUSION","EMPLOYEE EXPENSES",100694374,21.97,"United Kingdom Atomic Energy Authority"
"383",2013-08-03,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694166,24,"United Kingdom Atomic Energy Authority"
"384",2013-08-03,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694164,24,"United Kingdom Atomic Energy Authority"
"385",2013-08-23,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694372,24.18,"United Kingdom Atomic Energy Authority"
"386",2013-08-03,"SUBSISTENCE","FUSION","EMPLOYEE EXPENSES",100694164,24.56,"United Kingdom Atomic Energy Authority"
"387",2013-08-03,"OTHER EMPLOYEE EXPENSES","FUSION","EMPLOYEE EXPENSES",100694168,26.16,"United Kingdom Atomic Energy Authority"
"388",2013-08-23,"SUBSISTENCE","SUPPORT SERVICES","EMPLOYEE EXPENSES",100694366,26.53,"United Kingdom Atomic Energy Authority"
"389",2013-08-03,"RAIL TRAVEL","FUSION","EMPLOYEE EXPENSES",100694159,28.1,"United Kingdom Atomic Energy Authority"
"390",2013-08-23,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694364,29,"United Kingdom Atomic Energy Authority"
"391",2013-08-10,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694221,29,"United Kingdom Atomic Energy Authority"
"392",2013-08-03,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694157,33.24,"United Kingdom Atomic Energy Authority"
"393",2013-08-03,"ROAD TRAVEL","FUSION","EMPLOYEE EXPENSES",100694157,33.24,"United Kingdom Atomic Energy Authority"
