"","Department","Entity","Expense Category","Expense Area","Supplier Name","Transaction Reference","Date Paid","Amount"
"209","Department of Health","NHS East Lancashire","PMS Hazardous Container Charge","PMS","Reedyford Healthcare Group",15623,2011-01-15,37.17
"210","Department of Health","NHS East Lancashire","PMS Hazardous Consignment Fees","PMS","Reedyford Healthcare Group",15623,2011-01-15,79.65
"211","Department of Health","NHS East Lancashire","PMS LES - Start Diabetes","PMS","Reedyford Healthcare Group",15623,2011-01-15,202.83
"212","Department of Health","NHS East Lancashire","PMS Rates Water & Sewerage","PMS","Reedyford Healthcare Group",15623,2011-01-15,514.85
"213","Department of Health","NHS East Lancashire","PMS DES - IM&T Developments","PMS","Reedyford Healthcare Group",15623,2011-01-15,764
"214","Department of Health","NHS East Lancashire","PMS NES - Intra Uterine Contraceptive Device","PMS","Reedyford Healthcare Group",15623,2011-01-15,816.67
"215","Department of Health","NHS East Lancashire","PMS DES - Influenza Immunisations","PMS","Reedyford Healthcare Group",15623,2011-01-15,1257.83
"216","Department of Health","NHS East Lancashire","PMS DES - Childhood Vaccination Scheme","PMS","Reedyford Healthcare Group",15623,2011-01-15,1715.42
"217","Department of Health","NHS East Lancashire","PMS DES - Minor Surgery","PMS","Reedyford Healthcare Group",15623,2011-01-15,1800
"218","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","GMS","Reedyford Healthcare Group",15623,2011-01-15,1918.5
"219","Department of Health","NHS East Lancashire","PMS Notional Rents","PMS","Reedyford Healthcare Group",15623,2011-01-15,2270.83
"220","Department of Health","NHS East Lancashire","PMS Growth - GP Locums","PMS","Reedyford Healthcare Group",15623,2011-01-15,2819.83
"221","Department of Health","NHS East Lancashire","PMS - Drugs and Appliances- Pres GPs","PMS","Reedyford Healthcare Group",15623,2011-01-15,11010.48
"222","Department of Health","NHS East Lancashire","PMS Quality Aspiration","PMS","Reedyford Healthcare Group",15623,2011-01-15,12896.01
"223","Department of Health","NHS East Lancashire","PMS Staffing","PMS","Reedyford Healthcare Group",15623,2011-01-15,16029.33
"224","Department of Health","NHS East Lancashire","PMS All Other Costs including Contract","PMS","Reedyford Healthcare Group",15623,2011-01-15,45516.3
"225","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Colne Road Surgery",15623,2011-01-24,17.7
"226","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Colne Road Surgery",15623,2011-01-24,22.71
"227","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","Colne Road Surgery",15623,2011-01-24,32.5
"228","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Colne Road Surgery",15623,2011-01-24,44.83
"229","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Colne Road Surgery",15623,2011-01-24,65
"230","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Colne Road Surgery",15623,2011-01-24,92.31
"231","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Colne Road Surgery",15623,2011-01-24,427.08
"232","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Colne Road Surgery",15623,2011-01-24,500
"233","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Colne Road Surgery",15623,2011-01-24,600
"234","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Colne Road Surgery",15623,2011-01-24,888.59
"235","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Colne Road Surgery",15623,2011-01-24,965.44
"236","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Colne Road Surgery",15623,2011-01-24,2617.94
"237","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Colne Road Surgery",15623,2011-01-24,3000
"238","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Colne Road Surgery",15623,2011-01-24,3645.38
"239","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Colne Road Surgery",15623,2011-01-24,5909.13
"240","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Colne Road Surgery",15623,2011-01-24,24766.26
"241","Department of Health","NHS East Lancashire","PMS Hazardous Container Charge","PMS","Peel House Medical Practice",15623,2011-01-15,4.96
"242","Department of Health","NHS East Lancashire","PMS LES - Human Papilloma Virus (HPV)  Incentive Scheme","PMS","Peel House Medical Practice",15623,2011-01-15,30.07
"243","Department of Health","NHS East Lancashire","PMS Hazardous Consignment Fees","PMS","Peel House Medical Practice",15623,2011-01-15,61.95
"244","Department of Health","NHS East Lancashire","PMS NES - Anti Coagulant Monitoring","PMS","Peel House Medical Practice",15623,2011-01-15,125
"245","Department of Health","NHS East Lancashire","PMS LES - Start Diabetes","PMS","Peel House Medical Practice",15623,2011-01-15,190
"246","Department of Health","NHS East Lancashire","PMS LES - Coronary Vascular Disease","PMS","Peel House Medical Practice",15623,2011-01-15,285
"247","Department of Health","NHS East Lancashire","PMS NES - Intra Uterine Contraceptive Device","PMS","Peel House Medical Practice",15623,2011-01-15,425
"248","Department of Health","NHS East Lancashire","PMS LES - Medicine Management","PMS","Peel House Medical Practice",15623,2011-01-15,427.08
"249","Department of Health","NHS East Lancashire","PMS LES - HDSU Sterilisation of Equipment","PMS","Peel House Medical Practice",15623,2011-01-15,651.46
"250","Department of Health","NHS East Lancashire","PMS DES - Minor Surgery","PMS","Peel House Medical Practice",15623,2011-01-15,1200
"251","Department of Health","NHS East Lancashire","PMS DES - Childhood Vaccination Scheme","PMS","Peel House Medical Practice",15623,2011-01-15,1426.58
"252","Department of Health","NHS East Lancashire","PMS Rates Water & Sewerage","PMS","Peel House Medical Practice",15623,2011-01-15,1572.83
"253","Department of Health","NHS East Lancashire","PMS DES - Influenza Immunisations","PMS","Peel House Medical Practice",15623,2011-01-15,1776.33
"254","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","PMS","Peel House Medical Practice",15623,2011-01-15,2558
"255","Department of Health","NHS East Lancashire","PMS - Drugs and Appliances- Pres GPs","PMS","Peel House Medical Practice",15623,2011-01-15,2602.23
"256","Department of Health","NHS East Lancashire","PMS LES - Dermatology","PMS","Peel House Medical Practice",15623,2011-01-15,3750
"257","Department of Health","NHS East Lancashire","PMS Notional Rents","PMS","Peel House Medical Practice",15623,2011-01-15,4048
"258","Department of Health","NHS East Lancashire","PMS PCO - Locums Mat Pat & Adopt","PMS","Peel House Medical Practice",15623,2011-01-15,6627.06
"259","Department of Health","NHS East Lancashire","PMS Growth - GP Locums","PMS","Peel House Medical Practice",15623,2011-01-15,12882.83
"260","Department of Health","NHS East Lancashire","PMS Quality Aspiration","PMS","Peel House Medical Practice",15623,2011-01-15,16745.02
"261","Department of Health","NHS East Lancashire","PMS All Other Costs including Contract","PMS","Peel House Medical Practice",15623,2011-01-15,83350.12
"262","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Parkside Surgery",15623,2011-01-24,15.05
"263","Department of Health","NHS East Lancashire","GMS NES - Intra Partum Care","GMS","Parkside Surgery",15623,2011-01-24,16.67
"264","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Parkside Surgery",15623,2011-01-24,44.25
"265","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Parkside Surgery",15623,2011-01-24,98.6
"266","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Parkside Surgery",15623,2011-01-24,100
"267","Department of Health","NHS East Lancashire","GMS DES - Childhood Vaccination Scheme","GMS","Parkside Surgery",15623,2011-01-24,121.19
"268","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Parkside Surgery",15623,2011-01-24,128.17
"269","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Parkside Surgery",15623,2011-01-24,172.78
"270","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Parkside Surgery",15623,2011-01-24,372.24
"271","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","Parkside Surgery",15623,2011-01-24,433.33
"272","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Parkside Surgery",15623,2011-01-24,443.92
"273","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Parkside Surgery",15623,2011-01-24,825
"274","Department of Health","NHS East Lancashire","GMS NES - Anti Coagulant Monitoring","GMS","Parkside Surgery",15623,2011-01-24,1000
"275","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Parkside Surgery",15623,2011-01-24,1125
"276","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","GMS","Parkside Surgery",15623,2011-01-24,1279
"277","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Parkside Surgery",15623,2011-01-24,1592.88
"278","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Parkside Surgery",15623,2011-01-24,2963.57
"279","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Parkside Surgery",15623,2011-01-24,6536.44
"280","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Parkside Surgery",15623,2011-01-24,10994.55
"281","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Parkside Surgery",15623,2011-01-24,12500
"282","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Parkside Surgery",15623,2011-01-24,51541.71
"283","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Briercliffe Surgery",15623,2011-01-24,19.85
"284","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Briercliffe Surgery",15623,2011-01-24,44.25
"285","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Briercliffe Surgery",15623,2011-01-24,60.2
"286","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Briercliffe Surgery",15623,2011-01-24,65
"287","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Briercliffe Surgery",15623,2011-01-24,124.55
"288","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Briercliffe Surgery",15623,2011-01-24,134.5
"289","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Briercliffe Surgery",15623,2011-01-24,427.08
"290","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","GMS","Briercliffe Surgery",15623,2011-01-24,639.5
"291","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Briercliffe Surgery",15623,2011-01-24,831.97
"292","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Briercliffe Surgery",15623,2011-01-24,900
"293","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Briercliffe Surgery",15623,2011-01-24,1500
"294","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Briercliffe Surgery",15623,2011-01-24,9931.77
"295","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Briercliffe Surgery",15623,2011-01-24,40603.84
"296","Department of Health","NHS East Lancashire","PMS Hazardous Consignment Fees","PMS","Berry Lane Medical Centre",15623,2011-01-15,44.25
"297","Department of Health","NHS East Lancashire","PMS Hazardous Container Charge","PMS","Berry Lane Medical Centre",15623,2011-01-15,182.21
"298","Department of Health","NHS East Lancashire","PMS DES - Minor Surgery","PMS","Berry Lane Medical Centre",15623,2011-01-15,400
"299","Department of Health","NHS East Lancashire","PMS LES - Medicine Management","PMS","Berry Lane Medical Centre",15623,2011-01-15,427.08
"300","Department of Health","NHS East Lancashire","PMS NES - Anti Coagulant Monitoring","PMS","Berry Lane Medical Centre",15623,2011-01-15,500
"301","Department of Health","NHS East Lancashire","PMS Rates Water & Sewerage","PMS","Berry Lane Medical Centre",15623,2011-01-15,1148.58
"302","Department of Health","NHS East Lancashire","PMS DES - Childhood Vaccination Scheme","PMS","Berry Lane Medical Centre",15623,2011-01-15,1287.75
"303","Department of Health","NHS East Lancashire","PMS DES - Influenza Immunisations","PMS","Berry Lane Medical Centre",15623,2011-01-15,1325
"304","Department of Health","NHS East Lancashire","PMS NES - Minor Injuries Service","PMS","Berry Lane Medical Centre",15623,2011-01-15,1775
"305","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","PMS","Berry Lane Medical Centre",15623,2011-01-15,1918.5
"306","Department of Health","NHS East Lancashire","PMS Growth - GP Locums","PMS","Berry Lane Medical Centre",15623,2011-01-15,1932
"307","Department of Health","NHS East Lancashire","PMS - Non Disp Personal Administration","PMS","Berry Lane Medical Centre",15623,2011-01-15,3126.75
"308","Department of Health","NHS East Lancashire","PMS Notional Rents","PMS","Berry Lane Medical Centre",15623,2011-01-15,5666.67
"309","Department of Health","NHS East Lancashire","PMS Quality Aspiration","PMS","Berry Lane Medical Centre",15623,2011-01-15,10881.73
"310","Department of Health","NHS East Lancashire","PMS - Drugs and Appliances- Pres GPs","PMS","Berry Lane Medical Centre",15623,2011-01-15,11335.33
"311","Department of Health","NHS East Lancashire","PMS Staffing","PMS","Berry Lane Medical Centre",15623,2011-01-15,16619.58
"312","Department of Health","NHS East Lancashire","PMS All Other Costs including Contract","PMS","Berry Lane Medical Centre",15623,2011-01-15,40696.63
"313","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Edward Street Surgery",15623,2011-01-24,19.85
"314","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Edward Street Surgery",15623,2011-01-24,22.59
"315","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Edward Street Surgery",15623,2011-01-24,44.25
"316","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Edward Street Surgery",15623,2011-01-24,53.25
"317","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Edward Street Surgery",15623,2011-01-24,55.5
"318","Department of Health","NHS East Lancashire","GMS DES - IM&T Developments","GMS","Edward Street Surgery",15623,2011-01-24,62.47
"319","Department of Health","NHS East Lancashire","GMS NES - Intra Partum Care","GMS","Edward Street Surgery",15623,2011-01-24,62.5
"320","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Edward Street Surgery",15623,2011-01-24,105
"321","Department of Health","NHS East Lancashire","GMS Global Sum - Practice Staff Adjustments","GMS","Edward Street Surgery",15623,2011-01-24,131.58
"322","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Edward Street Surgery",15623,2011-01-24,193.25
"323","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","Edward Street Surgery",15623,2011-01-24,400
"324","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","GMS","Edward Street Surgery",15623,2011-01-24,639.5
"325","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Edward Street Surgery",15623,2011-01-24,874.03
"326","Department of Health","NHS East Lancashire","GMS NES - Minor Injuries Service","GMS","Edward Street Surgery",15623,2011-01-24,875
"327","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Edward Street Surgery",15623,2011-01-24,925
"328","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Edward Street Surgery",15623,2011-01-24,1025
"329","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Edward Street Surgery",15623,2011-01-24,2661.95
"330","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Edward Street Surgery",15623,2011-01-24,2827.73
"331","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Edward Street Surgery",15623,2011-01-24,2950
"332","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Edward Street Surgery",15623,2011-01-24,9326.19
"333","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Edward Street Surgery",15623,2011-01-24,9779.69
"334","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Edward Street Surgery",15623,2011-01-24,40106.4
"335","Department of Health","NHS East Lancashire","GMS - Adv Recd - Disp GP's","GMS","Pendleside Medical Practice",15623,2011-01-24,-30620.43
"336","Department of Health","NHS East Lancashire","GMS - Prescription Charges - Disp Drs","GMS","Pendleside Medical Practice",15623,2011-01-24,-1864.8
"337","Department of Health","NHS East Lancashire","GMS Health Centre Charges","GMS","Pendleside Medical Practice",15623,2011-01-24,-1834.17
"338","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Pendleside Medical Practice",15623,2011-01-24,37.67
"339","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Pendleside Medical Practice",15623,2011-01-24,79.39
"340","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Pendleside Medical Practice",15623,2011-01-24,94.7
"341","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Pendleside Medical Practice",15623,2011-01-24,115
"342","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Pendleside Medical Practice",15623,2011-01-24,115.05
"343","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","Pendleside Medical Practice",15623,2011-01-24,241.67
"344","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Pendleside Medical Practice",15623,2011-01-24,427.08
"345","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Pendleside Medical Practice",15623,2011-01-24,464.5
"346","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Pendleside Medical Practice",15623,2011-01-24,475
"347","Department of Health","NHS East Lancashire","GMS NES - Anti Coagulant Monitoring","GMS","Pendleside Medical Practice",15623,2011-01-24,600
"348","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Pendleside Medical Practice",15623,2011-01-24,612.5
"349","Department of Health","NHS East Lancashire","GMS NES - Minor Injuries Service","GMS","Pendleside Medical Practice",15623,2011-01-24,925
"350","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Pendleside Medical Practice",15623,2011-01-24,1225
"351","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","GMS","Pendleside Medical Practice",15623,2011-01-24,1279
"352","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Pendleside Medical Practice",15623,2011-01-24,1433.33
"353","Department of Health","NHS East Lancashire","GMS Global Sum - Practice Staff Adjustments","GMS","Pendleside Medical Practice",15623,2011-01-24,2036.25
"354","Department of Health","NHS East Lancashire","GMS PCO - Locum Allowance Adopt Paternity Maternity","GMS","Pendleside Medical Practice",15623,2011-01-24,3177.01
"355","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Pendleside Medical Practice",15623,2011-01-24,4653.99
"356","Department of Health","NHS East Lancashire","GMS - Dispensing Personal Administration","GMS","Pendleside Medical Practice",15623,2011-01-24,8744.94
"357","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Pendleside Medical Practice",15623,2011-01-24,12550.17
"358","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Disp GPs","GMS","Pendleside Medical Practice",15623,2011-01-24,29534.1
"359","Department of Health","NHS East Lancashire","GMS - Adv Paid - Disp GP's","GMS","Pendleside Medical Practice",15623,2011-01-24,34448.6
"360","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Pendleside Medical Practice",15623,2011-01-24,46312.92
"361","Department of Health","NHS East Lancashire","PMS LES - Coronary Vascular Disease","PMS","Pendle View Medical Centre",15623,2011-01-15,10
"362","Department of Health","NHS East Lancashire","PMS Hazardous Container Charge","PMS","Pendle View Medical Centre",15623,2011-01-15,33.36
"363","Department of Health","NHS East Lancashire","PMS Hazardous Consignment Fees","PMS","Pendle View Medical Centre",15623,2011-01-15,35.4
"364","Department of Health","NHS East Lancashire","PMS LES - Human Papilloma Virus (HPV)  Incentive Scheme","PMS","Pendle View Medical Centre",15623,2011-01-15,67.68
"365","Department of Health","NHS East Lancashire","PMS LES - Start Diabetes","PMS","Pendle View Medical Centre",15623,2011-01-15,87.58
"366","Department of Health","NHS East Lancashire","PMS DES - IM&T Developments","PMS","Pendle View Medical Centre",15623,2011-01-15,573.08
"367","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","PMS","Pendle View Medical Centre",15623,2011-01-15,639.5
"368","Department of Health","NHS East Lancashire","PMS DES - Minor Surgery","PMS","Pendle View Medical Centre",15623,2011-01-15,733.33
"369","Department of Health","NHS East Lancashire","PMS DES - Childhood Vaccination Scheme","PMS","Pendle View Medical Centre",15623,2011-01-15,744.92
"370","Department of Health","NHS East Lancashire","PMS DES - Influenza Immunisations","PMS","Pendle View Medical Centre",15623,2011-01-15,1008.17
"371","Department of Health","NHS East Lancashire","PMS DES - Extended Hours","PMS","Pendle View Medical Centre",15623,2011-01-15,2137.33
"372","Department of Health","NHS East Lancashire","PMS Rates Water & Sewerage","PMS","Pendle View Medical Centre",15623,2011-01-15,2659.22
"373","Department of Health","NHS East Lancashire","PMS Growth - GP Locums","PMS","Pendle View Medical Centre",15623,2011-01-15,4699.67
"374","Department of Health","NHS East Lancashire","PMS Quality Aspiration","PMS","Pendle View Medical Centre",15623,2011-01-15,7807.89
"375","Department of Health","NHS East Lancashire","PMS - Drugs and Appliances- Pres GPs","PMS","Pendle View Medical Centre",15623,2011-01-15,8925.26
"376","Department of Health","NHS East Lancashire","PMS Staffing","PMS","Pendle View Medical Centre",15623,2011-01-15,10041.25
"377","Department of Health","NHS East Lancashire","PMS All Other Costs including Contract","PMS","Pendle View Medical Centre",15623,2011-01-15,29218.13
"378","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Barnoldswick Medical Centre",15623,2011-01-24,30.04
"379","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Barnoldswick Medical Centre",15623,2011-01-24,44.25
"380","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Barnoldswick Medical Centre",15623,2011-01-24,53.2
"381","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Barnoldswick Medical Centre",15623,2011-01-24,90
"382","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Barnoldswick Medical Centre",15623,2011-01-24,256.95
"383","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","Barnoldswick Medical Centre",15623,2011-01-24,325
"384","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Barnoldswick Medical Centre",15623,2011-01-24,427.08
"385","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Barnoldswick Medical Centre",15623,2011-01-24,541.89
"386","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","GMS","Barnoldswick Medical Centre",15623,2011-01-24,639.5
"387","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Barnoldswick Medical Centre",15623,2011-01-24,824.26
"388","Department of Health","NHS East Lancashire","GMS NES - Minor Injuries Service","GMS","Barnoldswick Medical Centre",15623,2011-01-24,1250
"389","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Barnoldswick Medical Centre",15623,2011-01-24,1350
"390","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Barnoldswick Medical Centre",15623,2011-01-24,1350
"391","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Barnoldswick Medical Centre",15623,2011-01-24,4083.21
"392","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Barnoldswick Medical Centre",15623,2011-01-24,4291.67
"393","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Barnoldswick Medical Centre",15623,2011-01-24,14290.52
"394","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Barnoldswick Medical Centre",15623,2011-01-24,57239.65
"395","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Whitworth Medical Centre",15623,2011-01-24,26.55
"396","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Whitworth Medical Centre",15623,2011-01-24,39.69
"397","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Whitworth Medical Centre",15623,2011-01-24,41.13
"398","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Whitworth Medical Centre",15623,2011-01-24,45.15
"399","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Whitworth Medical Centre",15623,2011-01-24,75
"400","Department of Health","NHS East Lancashire","GMS NES - Minor Injuries Service","GMS","Whitworth Medical Centre",15623,2011-01-24,125
"401","Department of Health","NHS East Lancashire","GMS NES - Anti Coagulant Monitoring","GMS","Whitworth Medical Centre",15623,2011-01-24,166.67
"402","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Whitworth Medical Centre",15623,2011-01-24,239.09
"403","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","Whitworth Medical Centre",15623,2011-01-24,350
"404","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Whitworth Medical Centre",15623,2011-01-24,483.33
"405","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Whitworth Medical Centre",15623,2011-01-24,733.33
"406","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Whitworth Medical Centre",15623,2011-01-24,798.83
"407","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Whitworth Medical Centre",15623,2011-01-24,800
"408","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Whitworth Medical Centre",15623,2011-01-24,1787.65
"409","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Whitworth Medical Centre",15623,2011-01-24,3000
"410","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Whitworth Medical Centre",15623,2011-01-24,5802.76
"411","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Whitworth Medical Centre",15623,2011-01-24,8803.81
"412","Department of Health","NHS East Lancashire","GMS Global Sum - Practice Staff Adjustments","GMS","Whitworth Medical Centre",15623,2011-01-24,12478.57
"413","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Whitworth Medical Centre",15623,2011-01-24,38845.05
"414","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Thursby Surgery",15623,2011-01-24,12.83
"415","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Thursby Surgery",15623,2011-01-24,22.53
"416","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Thursby Surgery",15623,2011-01-24,35.4
"417","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Thursby Surgery",15623,2011-01-24,80
"418","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Thursby Surgery",15623,2011-01-24,98.47
"419","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Thursby Surgery",15623,2011-01-24,199.5
"420","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Thursby Surgery",15623,2011-01-24,258.33
"421","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Thursby Surgery",15623,2011-01-24,427.08
"422","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Thursby Surgery",15623,2011-01-24,500
"423","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Thursby Surgery",15623,2011-01-24,875.91
"424","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Thursby Surgery",15623,2011-01-24,975
