"","Payment Date","Expense Type","Expense Area","Supplier Name","Transaction Ref","Line No","Line Value"
"259",2013-03-07,"Non - Healthcare - PCTs","Solihull TCS - Estates Recharg","Solihull Care Trust","0000177845","003",101494
"260",2013-03-07,"Rates","Solihull TCS - Estates Recharg","Solihull Care Trust","0000177845","004",3378
"261",2013-03-07,"electricity","Solihull TCS - Estates Recharg","Solihull Care Trust","0000177845","005",9210.5
"262",2013-03-07,"gas","Solihull TCS - Estates Recharg","Solihull Care Trust","0000177845","006",9602
"263",2013-03-07,"External Contracts : Window Cl","Solihull TCS - Estates Recharg","Solihull Care Trust","0000177845","007",75
"264",2013-03-07,"Telephone Rental and call char","Solihull TCS - Estates Recharg","Solihull Care Trust","0000177845","008",5362.5
"265",2013-03-07,"Water","Solihull TCS - Estates Recharg","Solihull Care Trust","0000177845","009",2792.5
"266",2013-03-07,"heating oil","Solihull TCS - Estates Recharg","Solihull Care Trust","0000177845","010",500
"267",2013-03-07,"Contract : Pest Control","Solihull TCS - Estates Recharg","Solihull Care Trust","0000177845","011",295
"268",2013-03-07,"Cleaning Materials","Solihull TCS - Estates Recharg","Solihull Care Trust","0000177845","012",509.5
"269",2013-03-07,"Provisions","Solihull TCS - Estates Recharg","Solihull Care Trust","0000177845","013",141
"270",2013-03-07,"Mobile Phones","Solihull TCS - Estates Recharg","Solihull Care Trust","0000177845","014",104.5
"271",2013-03-07,"software","Solihull TCS - IT Recharge","Solihull Care Trust","0000178843","001",27081
"272",2013-03-06,"PL Suspense","Creditors - Accruals & Def Inc","South Warwickshire General Hosp NHS Trust","0000174265","001",34055
"273",2013-03-04,"Lease Rents","Estates","Coventry Primary Care Trust","0000178285","001",254061
"274",2013-03-04,"Rates","Estates","Coventry Primary Care Trust","0000178285","002",33921
"275",2013-03-04,"Telephone Rental and call char","Estates","Coventry Primary Care Trust","0000178285","003",11173
"276",2013-03-04,"Legal/Prof Fees","Estates","Coventry Primary Care Trust","0000178285","004",2564
"277",2013-03-04,"Service Charge","Estates","Coventry Primary Care Trust","0000178285","005",20011
"278",2013-03-04,"Contract : Premises Security","Estates","Coventry Primary Care Trust","0000178285","006",12761
"279",2013-03-04,"Insurance Costs","Estates","Coventry Primary Care Trust","0000178285","007",4502
"280",2013-03-04,"Other Utility Fuels","Estates","Coventry Primary Care Trust","0000178285","008",28386
