"","Department","Entity","Date","Expense Type","Expense Area","Supplier ","Transaction Number"," Amount ","Description","Supplier Postcode","Supplier Type","Contract Number","Project Code","Expenditure Type","Vat Registration Number"
"242","Defra","Core Defra",2013-02-07,"Clearing Construction in Progress (Building Works)","Chief Operating Officer DG","IBM United Kingdom Ltd","5801130776",69061.04,"Information Technology costs associated with the Newcastle upon Tyne estates rationalisation programme","GU1 2LD","","FRW10040-00","EXITNEWC","Asset",""
"243","Defra","Core Defra",2013-02-01,"Agency Recharge","Chief Operating Officer DG","Pick Everard","16032",28800,"Costs incurred for the undertaking of estates maintenance projects at FERA, Sand Hutton which was invoiced for in February 2013","LE1 1HA","","15816","FERAREDE","Asset",""
"244","Defra","Core Defra",2013-02-15,"Clearing Construction in Progress (Building Works)","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00023371",236668.86,"Costs associated with renovation of Nobel House, London - Purchase of new furniture, carpets and fittings","BS32 4NH","","17799","B196P010","Asset",""
"245","Defra","Core Defra",2013-02-15,"Clearing Construction in Progress (Building Works)","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00023363",74516.59,"Costs associated with renovation of Nobel House, London - portering services associated with staffing movement","BS32 4NH","","17056","B196P010","Asset",""
"246","Defra","Core Defra",2013-02-21,"Clearing Construction in Progress (Building Works)","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00023368",54367.74,"Supply of furniture following renovation of Nobel House, London","BS32 4NH","","17640","B196P010","Asset",""
"247","Defra","Core Defra",2013-02-21,"Clearing Construction in Progress (Building Works)","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00023369",165552,"Supply of furniture following renovation of Nobel House, London","BS32 4NH","","17641","B196P010","Asset",""
"248","Defra","Core Defra",2013-02-19,"Current Grants UK","Policy Delivery DG","Wiltshire Council","90153673",1470000,"Grant in Aid - Swindon and Wiltshire Rural Growth Network Pilot funding","SP1 3UZ","","16642E","00000000","Expense",""
"249","Defra","Core Defra",2013-02-05,"Other Current Payments E","Policy Delivery DG","Animal Health and Veterinary Laboratories Agency","5000022712",60230.51,"Animal Health - Willdife Licensing costs for December 2012","YO1 7PX","SME","Exempt","00000000","Expense",""
"250","Defra","Core Defra",2013-02-15,"Other Current Payments E","Policy Delivery DG","Cabi Bioscience (Egham)","SI5392",110500,"Biocontrol of floating pennywort, crassula and Himalayan balsam","TW20 9TY","SME","Exempt","INNWFDXX","Expense",""
"251","Defra","Core Defra",2013-02-05,"Other Current Payments E","Policy Delivery DG","Animal Health and Veterinary Laboratories Agency","5000022670",76653.46,"Animal Health - Willdife Licensing costs for November 2012","YO1 7PX","SME","Exempt","00000000","Expense",""
"252","Defra","Core Defra",2013-02-19,"Other Current Payments (Evidence R&D)","Policy Delivery DG","A D A S UK Ltd","1402133043584",25363.2,"Research costs associated with the ""Horticultural crops grown under protection"" initiative","WV9 5AP","","Exempt","00000000","Expense",""
"253","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Food & Environment Research Agency","ERS-513049-42920",30275.34,"Research and development payments - January and February 2013","YO41 1LZ","","Exempt","00000000","Expense",""
"254","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Food & Environment Research Agency","ERS-513058-42924",59851.2,"Development and improvement of methods for the Wildlife Incident Investigation Scheme - Nov, Dec 12 and Jan, Feb 13 payments","YO41 1LZ","","exempt","00000000","Expense",""
"255","Defra","Core Defra",2013-02-01,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Brook Lyndhurst Ltd","00000763",29873.25,"Monitoring and evaluation of Defra's Reward and Recognition Scheme 2012/13","W6 9LZ","SME","Exempt","00000000","Expense",""
"256","Defra","Core Defra",2013-02-05,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Ricardo-A E A Ltd","6150190",53163.92,"Environmental Monitoring Services Costs","OX11 0QJ","","exempt","00000000","Expense",""
"257","Defra","Core Defra",2013-02-27,"Other Current Payments (Evidence R&D)","Policy Delivery DG","University Of Bristol","ERS-12-FEB-13-42790",35463.41,"Costs associated with the evaluation of Meat Chicken Regulations Feb 13","BS40 5DU","","Exempt","00000000","Expense",""
"258","Defra","Core Defra",2013-02-19,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Sac Commercial Ltd","1302137636320",63636,"Reaseach Costs: Investigation of 13-17 year olds' attitudes and behaviour to animals","EH9 3JG","","exempt","00000000","Expense",""
"259","Defra","Core Defra",2013-02-19,"Other Current Payments (Evidence R&D)","Policy Delivery DG","The Royal Veterinary College","1302138032320",66936,"Research Costs: Animal Welfare","AL9 7TA","","exempt","00000000","Expense",""
"260","Defra","Core Defra",2013-02-01,"Telephone Call Charges (C)","Chief Operating Officer DG","Level 3 Communications UK Limited","80319225",77505.16,"Telephony Charges","RG24 8NA","","Exempt","00000000","Expense",""
"261","Defra","Core Defra",2013-02-07,"FM Projects Non Capital Works","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00023352",43022.43,"Costs incurred for the undertaking of estates maintenance projects over multiple sites; invoiced for in February 2013","BS32 4NH","","16850","B0870000","Asset",""
"262","Defra","Core Defra",2013-02-15,"FM Projects Non Capital Works","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00023351",285904.56,"Costs incurred for the undertaking of estates maintenance projects over multiple sites; invoiced for in February 2013","BS32 4NH","","16789","B0870000","Asset",""
"263","Defra","Core Defra",2013-02-11,"Estates Reactive Maintenance","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00023349",165524.34,"Costs incurred for the undertaking of estates maintenance projects over multiple sites; invoiced for in February 2013","BS32 4NH","","15706","B0820000","Asset",""
"264","Defra","Core Defra",2013-02-11,"FM Projects Non Capital Works","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00023360",76726.14,"Costs associated with renovation of Nobel House, London ","BS32 4NH","","17000","B1960000","Expense",""
"265","Defra","Core Defra",2013-02-13,"Estates IFM Core Maintenance","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00023028",2051217.55,"Facilities Management contract fee for period 01/04/2012 - 31/03/2013","BS32 4NH","","10321X","00000000","Expense",""
"266","Defra","Core Defra",2013-02-13,"Reactive Element of Core IFM fee","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00023029",576352.07,"Facilities Management Reactive Maintenance costs for period 01/04/2012 - 31/03/2013","BS32 4NH","","16408","00000000","Expense",""
"267","Defra","Core Defra",2013-02-19,"Estates Reactive Maintenance","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00023350",161454.95,"Costs incurred for the undertaking of estates maintenance projects over multiple sites; invoiced for in February 2013","BS32 4NH","","15516","B0820000","Asset",""
"268","Defra","Core Defra",2013-02-05,"PUS Servicing & repairs (C)","Chief Operating Officer DG","Willis","11540188",33464.2,"Servicing and repair costs for the Private User Scheme fleet of vehicles","BS8 1SN","SME","","00000000","Expense",""
"269","Defra","Core Defra",2013-02-25,"Reallocation of Pay Costs","Chief Operating Officer DG","Rural Payments Agency","333507",330787.7,"Recharge of staffing loans (wages) to Rural Payments Agency","RG1 1AF","SME","Exempt","00000000","Expense",""
"270","Defra","Core Defra",2013-02-19,"Purchase of Statistical Data","Chief Operating Officer DG","Cabinet Office","250006214",46741.2,"Costs incurred for the adminstration of the 2012 staff survey","RG21 4HG","","Exempt","00000000","Expense",""
"271","Defra","Core Defra",2013-02-20,"Current Transfers Abroad UK","Policy Delivery DG","United Nations Environment Prog","18021325655925",256559.25,"Chemicals Regulation - International Subscription","00100","","","00000000","Expense",""
"272","Defra","Core Defra",2013-02-11,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Natural Environ Research Council","57511",31579,"Environmental Nanosciences Initiative contribution 2012/13","SN2 1EU","","","00000000","Expense",""
"273","Defra","Core Defra",2013-02-27,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Cranfield University","1366580",35012.4,"Research Costs: Environment and Health related Science Policy ","MK45 4DT","","exempt/CB0401","00000000","Expense",""
"274","Defra","Core Defra",2013-02-20,"Current Transfers Abroad UK","Policy Delivery DG","United Nations Environment Prog","180213",119035.84,"Chemicals Regulation - International Subscription","00100","","","00000000","Expense",""
"275","Defra","Core Defra",2013-02-21,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Ricardo-A E A Ltd","6150634",31090.8,"Research Costs: UK Persistent Organic Pollutants Multimedia Emissions Inventory - Quarter 3 2012/13","OX11 0QJ","","CB0475","00000000","Expense",""
"276","Defra","Core Defra",2013-02-15,"Other Current Payments E","Policy Delivery DG","United Nations Environment Prog","FUND9340UK040213",150247.3,"Chemicals Regulation - International Subscription","00100","","","00000000","Expense",""
"277","Defra","Core Defra",2013-02-20,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Bio Intelligence Service","1210023",30000,"Bio Intelligence Service Payment Fund","75014","SME","","SFFS0007","Expense",""
"278","Defra","Core Defra",2013-02-01,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Trace Wildlife Forensics Network Ltd","T13013001",40000,"Sustainability Research Costs: Geographic Tracability of fish","EH12 6TS","SME","exempt","SFFS0003","Expense",""
"279","Defra","Core Defra",2013-02-15,"Evidence Non R&D","Policy Delivery DG","Grant Thornton UK LLP","6705346",62570,"Research Costs: Barriers to UK food and drink exports","NN4 7YE","","Exempt","SFFS0003","Expense",""
"280","Defra","Core Defra",2013-02-15,"Evidence Non R&D","Policy Delivery DG","Grant Thornton UK LLP","6705118",44900,"Research Costs: Barriers to UK food and drink exports","NN4 7YE","","Exempt","SFFS0003","Expense",""
"281","Defra","Core Defra",2013-02-27,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Risk Solutions","1889",120400,"Research Costs: Assessment of Water Abstraction Reforms","WA2 7LT","SME","Exempt","00000000","Expense",""
"282","Defra","Core Defra",2013-02-15,"Other Current Payments (Evidence R&D)","Policy Delivery DG","A D A S UK Ltd","RIRP067251",140396,"Research Costs: Monitoring the effectiveness of the nitrates action programme in Nitrate Vulnerable Zones","WV9 5AP","","Exempt","00000000","Expense",""
"283","Defra","Core Defra",2013-02-11,"Capital Grant to NDPB","Policy Delivery DG","The Coal Authority","CA102099",917548.8,"2012/13 Remediation Work costs for the abandoned metal mine at Saltburn Gill","NG18 4RG","SME","17479","00000000","Expense",""
"284","Defra","Core Defra",2013-02-05,"Other Current Payments E","Policy Delivery DG","The Coal Authority","CA102100",294972,"Payment to the Coal Authority under Memorandum of Understanding for feasibility studies for remediation of minewaters","NG18 4RG","SME","exempt","00000000","Expense",""
"285","Defra","Core Defra",2013-02-27,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Risk Solutions","1890",389555.98,"2012/13 Costs for the Contract for Assessment of Water Abstraction Reforms","WA2 7LT","SME","Exempt","00000000","Expense",""
"286","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Vivid Economics Ltd","22222152DEF190213",48055.2,"Research Costs: Economic Impact of Drought","W2 1FT","SME","Exempt","00000000","Expense",""
"287","Defra","Core Defra",2013-02-13,"Other Current Payments E","Policy Delivery DG","Cascade Consulting (Environment & Planning) Ltd","2566",108250.85,"Project Costs: Evaluation of the catchment based approach (Pilot) for the Environment Agency","M15 6SE","SME","exempt","00000000","Expense",""
"288","Defra","Core Defra",2013-02-19,"Grant-in Aid Payments","Policy Delivery DG","Natural England","8000011016",157530,"Grant in Aid payment to Natural England for the Catchment Sensitive Farming Programme","YO1 7PX","","17509","00000000","Expense",""
"289","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Vivid Economics Ltd","22042152DEF310113",96109.2,"Research Costs: Economic Impact of Drought in England","W2 1FT","SME","Exempt","00000000","Expense",""
"290","Defra","Core Defra",2013-02-21,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Risk Solutions","140213",40658.66,"Research Costs: Evidence on Impacts of Abstraction Reform Options On the Environment and Abstractors 2012/13","WA2 7LT","SME","exempt","00000000","Expense",""
"291","Defra","Core Defra",2013-02-05,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Marine Management Organisation","6000005845",102768.85,"Project Costs: Monitoring North Sea cod, and Western Isles sole fishing quotas using CCTV, and remote electronic monitoring","NE4 7YH","SME","exempt","00000000","Expense",""
"292","Defra","Core Defra",2013-02-27,"Other Current Payments (Evidence R&D)","Policy Delivery DG","The Pirbright Institute","ERS-512912-43006",95472.44,"Research Costs: Prevention of Foot and Mouth Disease","GU24 0NF","","exempt","00000000","Expense",""
"293","Defra","Core Defra",2013-02-27,"Other Current Payments (Evidence R&D)","Policy Delivery DG","The Pirbright Institute","ERS-512921-43007",236019.56,"Research Costs: Orbivirus molecular epidemiology studies and development of diagnostic assay systems","GU24 0NF","","Exempt","00000000","Expense",""
"294","Defra","Core Defra",2013-02-19,"Evidence Non R&D","Policy Delivery DG","B B S R C","16500",1887000,"Project Costs: Provision of the National Reference Laboratory Requirements to Defra 2012/13","SN2 1UH","","R&D","00000000","Expense",""
"295","Defra","Core Defra",2013-02-05,"Other Current Payments E","Policy Delivery DG","Health & Safety Commission & Executive","0000087925",124367.98,"Research Costs: Disease prevention 2012/13","L20 3LZ","","Exempt","00000000","Expense",""
"296","Defra","Core Defra",2013-02-07,"Other Current Payments (GB)","Policy Delivery DG","Bat Conservation Trust","12122",45338.4,"Project Costs: Funding of the Bat Conservation Trust's Helpline","SE11 5RD","SME","Exempt","00000000","Expense",""
"297","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Animal Health and Veterinary Laboratories Agency","ERS-513435-42985",74814.03,"Research Costs: Disease prevention in poultry 2012/13","KT15 3NB","SME","Exempt","00000000","Expense",""
"298","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D) (Agency)","Policy Delivery DG","Animal Health and Veterinary Laboratories Agency","ERS-512963-42964",112915.5,"Research Costs: Tools to support arthropod-borne virus investigation Dec 12 to Feb 13","KT15 3NB","SME","Exempt","00000000","Expense",""
"299","Defra","Core Defra",2013-02-25,"Evidence Non R&D","Policy Delivery DG","Animal Health and Veterinary Laboratories Agency","ERS-513420-42984",233168.75,"Project Costs: Surveillance for notable diseases","KT15 3NB","SME","Exempt","00000000","Expense",""
"300","Defra","Core Defra",2013-02-19,"Other Current Payments (GB)","Policy Delivery DG","Rural Payments Agency","333349",337316.76,"Project Costs: Sheep and Goat Inspections 2012/13","RG1 3YD","SME","exempt","SGTINSP1","Expense",""
"301","Defra","Core Defra",2013-02-25,"Evidence Non R&D","Policy Delivery DG","Animal Health and Veterinary Laboratories Agency","ERS-511810-42632",233168.75,"Project Costs: Surveillance for notable diseases","KT15 3NB","SME","Exempt","00000000","Expense",""
"302","Defra","Core Defra",2013-02-27,"Other Current Payments (Evidence R&D)","Policy Delivery DG","The Pirbright Institute","ERS-512928-43013",34804,"Research Costs: Tracing the origins of foot-and-mouth disease outbreaks","GU24 0NF","","exempt","00000000","Expense",""
"303","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D) (Agency)","Policy Delivery DG","Food & Environment Research Agency","ERS-512973-42915",37093.33,"Research Costs: Badger Survey of England and Wales Feb 13","YO41 1LZ","","Exempt","00000000","Expense",""
"304","Defra","Core Defra",2013-02-25,"Evidence Non R&D","Policy Delivery DG","Animal Health and Veterinary Laboratories Agency","ERS-513015-42982",37866.3,"Research Costs: Disease prevention in pigs 2012/13","KT15 3NB","SME","Exempt","00000000","Expense",""
"305","Defra","Core Defra",2013-02-05,"Payments to Agencies GB","Policy Delivery DG","Animal Health and Veterinary Laboratories Agency","5000022661",526896.75,"Project Costs: Funding to AHVLA for work carried out at border control sites","YO1 7PX","SME","exempt","00000000","Expense",""
"306","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D) (Agency)","Policy Delivery DG","Animal Health and Veterinary Laboratories Agency","ERS-512863-42949",51067.16,"Research Costs: Studies of natural and experimental Transmissible Spongiform Encephalopathies - Feb 13","KT15 3NB","SME","exempt","00000000","Expense",""
"307","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D) (Agency)","Policy Delivery DG","Animal Health and Veterinary Laboratories Agency","ERS-512859-42947",49578.5,"Project Costs: Prevention of disease arising from importing sheep","KT15 3NB","SME","exempt","00000000","Expense",""
"308","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D) (Agency)","Policy Delivery DG","Animal Health and Veterinary Laboratories Agency","ERS-512861-42990",31053.5,"Research Costs: Pathology and Pathogenesis of prion diseases - Feb 13","KT15 3NB","SME","Exempt","00000000","Expense",""
"309","Defra","Core Defra",2013-02-27,"Other Current Payments (Evidence R&D)","Policy Delivery DG","University Of Edinburgh","ERS-512845-42795",60304,"Research Costs: Studies on the environmental persistence of Transmissible spongiform encephalopathies infectivity","EH1 1HT","","","00000000","Expense",""
"310","Defra","Core Defra",2013-02-27,"Other Current Payments (Evidence R&D)","Policy Delivery DG","The Pirbright Institute","ERS-512923-43010",57810.83,"Development of novel foot and mouth vaccines","GU24 0NF","","exempt","00000000","Expense",""
"311","Defra","Core Defra",2013-02-27,"Other Current Payments (Evidence R&D)","Policy Delivery DG","The Pirbright Institute","ERS-512913-43008",27600.58,"African swine fever virus: Improvement of diagnostic tests and vaccine development - February 2013","GU24 0NF","","Exempt","00000000","Expense",""
"312","Defra","Core Defra",2013-02-05,"Payments to Agencies GB","Policy Delivery DG","Animal Health and Veterinary Laboratories Agency","5000022703",390709.04,"Border control charges - December 2012","YO1 7PX","SME","exempt","00000000","Expense",""
"313","Defra","Core Defra",2013-02-27,"Other Current Payments (Evidence R&D)","Policy Delivery DG","The Pirbright Institute","ERS-512964-43014",31616,"Understanding and predicting the spread of vector and aerosol-borne livestock pathogens in the UK - February 2013","GU24 0NF","","Exempt","00000000","Expense",""
"314","Defra","Core Defra",2013-02-01,"Other Current Payments (Evidence R&D)","Policy Delivery DG","University Of Cambridge","EW9058336",33988.93,"Cattle vaccination for the control of bovine Tuberculosis (bTB) ","CB2 1SB","","exempt","00000000","Expense",""
"315","Defra","Core Defra",2013-02-27,"Other Current Payments (Evidence R&D)","Policy Delivery DG","The Pirbright Institute","ERS-512924-43011",27662.33,"Development of methods to enhance implementation of foot and mouth disease virus control measures - February 2013","GU24 0NF","","Exempt","00000000","Expense",""
"316","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D) (Agency)","Policy Delivery DG","Animal Health and Veterinary Laboratories Agency","ERS-512976-42969",134403.08,"Continued vaccine development: Improving BCG and developing non-sensitising vaccines for cattle - February 2013","KT15 3NB","SME","Exempt","00000000","Expense",""
"317","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D) (Agency)","Policy Delivery DG","Animal Health and Veterinary Laboratories Agency","ERS-512894-42992",28280.33,"Selection of Extended Spectrum Beta Lactamase resistance in calves fed waste milk containing antibiotic residues - February 2013","KT15 3NB","SME","Exempt","00000000","Expense",""
"318","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D)","Policy Delivery DG","B B S R C","ERS-512961-42748",55904.5,"Emerging and Major Infectious Diseases of Livestock - Molecular studies of orbivirus transmission, epidemiology and diagnostics - February 2013","SN2 1UH","","exempt","00000000","Expense",""
"319","Defra","Core Defra",2013-02-27,"Other Current Payments (Evidence R&D)","Policy Delivery DG","University Of Edinburgh","ERS-512849-42798",27119.75,"Carrier state: do sheep of resistant PrP genotypes become sub-clinically infected when exposed to scrapie - February 2013","EH1 1HT","","","00000000","Expense",""
"320","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D) (Agency)","Policy Delivery DG","Animal Health and Veterinary Laboratories Agency","ERS-512978-42970",61065.75,"Antigen mining, Differentiation of Infected and Vaccinated Animals assays and other diagnostic approaches - February 13","KT15 3NB","SME","Exempt","00000000","Expense",""
"321","Defra","Core Defra",2013-02-11,"Other Current Payments (Evidence R&D)","Policy Delivery DG","B B S R C","16247",26494.74,"Development of Rationally Attenuated live Vaccines for Effective Control of Infectious Bronchitis","SN2 1UH","","Exempt","00000000","Expense",""
"322","Defra","Core Defra",2013-02-05,"Other Current Payments (Evidence R&D)","Policy Delivery DG","B B S R C","16245",63957.72,"Agronomic Processes to Optimise Galanthamine Content of Daffodil Biomass","SN2 1UH","","exempt","SFFS0006","Expense",""
"323","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Food & Environment Research Agency","ERS-512772-42894",183632.17,"Sustainable Farming Systems and Biodiversity grant","YO41 1LZ","","exempt","SFFS0006","Expense",""
"324","Defra","Core Defra",2013-02-13,"Capital LA Grant E","Policy Delivery DG","South Northamptonshire Council","040213",50000,"Air quality grant","NN12 6AE","","17965G","00000000","Expense",""
"325","Defra","Core Defra",2013-02-13,"Capital LA Grant E","Policy Delivery DG","Sheffield City Council","040213",75000,"Air quality grant","S9 2DB","","17965S","00000000","Expense",""
"326","Defra","Core Defra",2013-02-13,"Capital LA Grant E","Policy Delivery DG","Sefton Metropolitan Borough Council.","040213",31750,"Air quality grant","L20 3NJ","","17965ZD","00000000","Expense",""
"327","Defra","Core Defra",2013-02-13,"Capital LA Grant E","Policy Delivery DG","Chichester District Council","040213",51430,"Air quality grant","PO19 1TY","","17965B","00000000","Expense",""
"328","Defra","Core Defra",2013-02-13,"Capital LA Grant E","Policy Delivery DG","Slough Borough Council","040213",78000,"Air quality grant","SL1 3UF","","17965T","00000000","Expense",""
"329","Defra","Core Defra",2013-02-13,"Capital LA Grant E","Policy Delivery DG","Lancaster City Council","040213",30000,"Air quality grant","LA1 1PJ","","17965O","00000000","Expense",""
"330","Defra","Core Defra",2013-02-13,"Capital LA Grant E","Policy Delivery DG","Colchester Borough Council","040213",87000,"Air quality grant","CO3 3NG","","","00000000","Expense",""
"331","Defra","Core Defra",2013-02-13,"Capital LA Grant E","Policy Delivery DG","South Oxfordshire District Council","040213",60000,"Air quality grant","OX10 8NL","","17965U","00000000","Expense",""
"332","Defra","Core Defra",2013-02-13,"Capital LA Grant E","Policy Delivery DG","London Borough Of Waltham Forest","040213",51700,"Air quality grant","E17 4JA","","17965ZA","00000000","Expense",""
"333","Defra","Core Defra",2013-02-13,"Capital LA Grant E","Policy Delivery DG","Newcastle City Council","040213",40000,"Air quality grant","NE1 8PB","","179652C","00000000","Expense",""
"334","Defra","Core Defra",2013-02-21,"Evidence Non R&D","Policy Delivery DG","Ricardo-A E A Ltd","6150802",26196,"Baseline measurements: UK Stratospheric Ozone and Spectral Ultraviolet","OX11 0QR","","Exempt","AQNONRDX","Expense",""
"335","Defra","Core Defra",2013-02-25,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Centre For Ecology & Hydrology","ERS-512473-42830",28096,"Operation of the UK Eutrophying & Acidifying Atmospheric Pollutants","SN2 1EU","SME","Exempt","AQRDXXXX","Expense",""
"336","Defra","Core Defra",2013-02-21,"Evidence Non R&D","Policy Delivery DG","National Physical Laboratory","114003",25847.3,"Heavy metal monitoring - October 2012","TW11 0LW","SME","14769","AQNONRDX","Expense",""
"337","Defra","Core Defra",2013-02-07,"Evidence Non R&D","Policy Delivery DG","Ricardo-A E A Ltd","61505046150505",106104,"UK auto and non-auto hydrocarbons - October to December 2012","OX11 0QR","","","AQNONRDX","Expense",""
"338","Defra","Core Defra",2013-02-05,"Other Current Payments (Evidence R&D)","Policy Delivery DG","University Of Birmingham","210I07658",27228.75,"Use of Chemical Composition & Molecular Makers to infer the Sources of Airborne Particulate","B15 2TT","","Exempt","AQRDXXXX","Expense",""
"339","Defra","Core Defra",2013-02-21,"Evidence Non R&D","Policy Delivery DG","National Physical Laboratory","115151",28107.3,"Peer review of a research project - Monitoring and evaluation of Nature Improvement Areas","TW11 0LW","SME","14769","AQNONRDX","Expense",""
"340","Defra","Core Defra",2013-02-05,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Ricardo-A E A Ltd","61501546150156",50995,"UK National Atmospheric Emissions Inventory ","OX11 0QR","","Exempt","AQRDXXXX","Expense",""
"341","Defra","Core Defra",2013-02-21,"Evidence Non R&D","Policy Delivery DG","National Physical Laboratory","114783",29067.3,"Heavy metal monitoring   ","TW11 0LW","SME","14769","AQNONRDX","Expense",""
"342","Defra","Core Defra",2013-02-05,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Ricardo-A E A Ltd","6150139",59962,"UK Ambient Air Quality Assessments - November 2012","OX11 0QR","","Exempt","AQRDXXXX","Expense",""
"343","Defra","Core Defra",2013-02-05,"Evidence Non R&D","Policy Delivery DG","Ricardo-A E A Ltd","6150481",26196,"Baseline measurements: UK Stratospheric Ozone and Spectral Ultraviolet - December 2012","OX11 0QR","","Exempt","AQNONRDX","Expense",""
"344","Defra","Core Defra",2013-02-05,"IBM Base Services Control","Policy Delivery DG","Ricardo-A E A Ltd","6150317",58252,"Provision of pollutant release and transfer register charges","OX11 0QR","","17199","00000000","Expense",""
"345","Defra","Core Defra",2013-02-05,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Ricardo-A E A Ltd","61505156150516",50995,"UK National Atmospheric Emissions Inventory - December 2012","OX11 0QR","","Exempt","AQRDXXXX","Expense",""
"346","Defra","Core Defra",2013-02-11,"Evidence Non R&D","Policy Delivery DG","Hepworth Acoustics Ltd","C0063",79437.21,"Calculation of Noise Levels from Road & Rail Sources","M15 4PS","SME","17207","00000000","Expense",""
"347","Defra","Core Defra",2013-02-07,"Evidence Non R&D","Policy Delivery DG","Ricardo-A E A Ltd","6150378",77848,"Quality Assurance for the Automatic Urban and Rural Network (2008-2011)","OX11 0QR","","Exempt","AQNONRDX","Expense",""
"348","Defra","Core Defra",2013-02-05,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Ricardo-A E A Ltd","6150457",59962,"UK Ambient Air Quality Assessments 2010-2013 - December 2012","OX11 0QR","","Exempt","AQRDXXXX","Expense",""
"349","Defra","Core Defra",2013-02-13,"Evidence Non R&D","Policy Delivery DG","Bureau Veritas UK Ltd","13001503",141453,"Automatic Urban & Rural Network fees - December 2012","SE1 2TX","","Exempt","AQNONRDX","Expense",""
"350","Defra","Core Defra",2013-02-07,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Ricardo-A E A Ltd","6150806",49984,"Eutrophying & Acidfying Atmospheric Pollutants ","OX11 0QR","","Exempt","AQRDXXXX","Expense",""
"351","Defra","Core Defra",2013-02-21,"Evidence Non R&D","Policy Delivery DG","National Physical Laboratory","114782",32003.7,"Heavy metal monitoring   ","TW11 0LW","SME","14769","AQNONRDX","Expense",""
"352","Defra","Core Defra",2013-02-11,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Ricardo-A E A Ltd","6150824",50995,"UK National Atmospheric Emissions Inventory ","OX11 0QR","","Exempt","AQRDXXXX","Expense",""
"353","Defra","Core Defra",2013-02-05,"Evidence Non R&D","Policy Delivery DG","Ricardo-A E A Ltd","6150127",77848,"Quality assurance and quality control services - November 2012","OX11 0QR","","Exempt","AQNONRDX","Expense",""
"354","Defra","Core Defra",2013-02-25,"Evidence Non R&D","Policy Delivery DG","Department Of Energy and Climate Change","1100004603",78413,"Payment to DECC for Adaptation Sub-Committee for 2012-13 Grant-in-Aid","SW1A 2HD","SME","16612","ADAPTASC","Expense",""
"355","Defra","Core Defra",2013-02-19,"Evidence Non R&D","Policy Delivery DG","Department Of Energy and Climate Change","1100004602",54585,"Payment to DECC for Adaptation Sub-Committee for 2012-13 Grant-in-Aid - December 2012","SW1A 2HD","SME","16612","ADAPTASC","Expense",""
