"","Department","Entity","Date","Expense Type","Expense Area","Supplier ","Transaction Number","Amount","Description","Supplier Postcode","Supplier Type","Contract Number","Project Code","Expenditure Type","Vat Registration Num"
"111","DEFRA","DEFRA",2015-01-20,"Payments to Agencies GB","Strategy, International and Biosecurity DG","Food & Environment Research Agency","F0040580",25000,"Plant Health Horizon Scanning and Technology Implementation (HSTI) Programme - 2014-15 Quarter 3","YO41 1LZ","","DFP","00000000","Expense",""
"112","DEFRA","DEFRA",2015-01-23,"Other Current Payments (Evidence R&D) (Agency)","Strategy, International and Biosecurity DG","Food & Environment Research Agency","ERS-550671-50934",44669,"Methods for prioritising tree and plant pests and pathogens - 2014-15","YO41 1LZ","","","00000000","Expense",""
"113","DEFRA","DEFRA",2015-01-26,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Food & Environment Research Agency","F0040422",65223.57,"Campaign for farmed environment - 2014-15","YO41 1LZ","","","00000000","Expense",""
"114","DEFRA","DEFRA",2015-01-20,"Evidence Non R&D","Strategy, International and Biosecurity DG","Food Standards Agency","1702904",26018.26,"Brainstem survey samples - 2014-15 Quarter 3","YO1 2YX","","IGS","TSE002SH","Expense",""
"115","DEFRA","DEFRA",2015-01-26,"Other Current Payments (GB)","Strategy, International and Biosecurity DG","Food Standards Agency","1702891",28353.49,"Memorandum of Understanding - By-product staining work - 2014-15","YO1 2YX","","DFP","ABPO0001","Expense",""
"116","DEFRA","DEFRA",2015-01-28,"Other Current Payments E","Chief Operating Officer DG","Getmapping Plc","DEFRA009",94500,"Supply of aerial photography and height data - December 2014","RG27 8NW","SME","20041","AERPHOTO","Expense",""
"117","DEFRA","DEFRA",2015-01-22,"Current Grants E","Policy Delivery DG","Hampshire Police Authority","3680000432",34000,"National Wildlife Crime Unit - 2014-15 Quarter 4","SO22 5DB","","21307","00000000","Expense",""
"118","DEFRA","DEFRA",2015-01-20,"Evidence Non R&D","Policy Delivery DG","Health & Safety Commission & Executive","144772",1026727.25,"Competent authority delegated functions for Plant Protection Products and Detergents - 2014-15 Quarter 4","L20 3LZ","","MOU EXEMPT","00000000","Expense",""
"119","DEFRA","DEFRA",2015-01-06,"Business & Technical/Consultancy Assignments","Policy Delivery DG","Health & Safety Laboratory","039366",43800,"To identify steam technology for lab based testing. Optimise soil model and validate effect of steam use of germinants Milestone 1 - December 2014","SK17 9JN","","21413","BIOH0004","Expense",""
"120","DEFRA","DEFRA",2015-01-12,"Other Current Payments (GB)","Strategy, International and Biosecurity DG","Health & Safety Laboratory","039181",26000,"Development of a solution for sharing farm inspection data across Defra regulators - Milestone 1","SK17 9JN","","ecm - 16997","BRFINDIT","Expense",""
"121","DEFRA","DEFRA",2015-01-22,"Clearing Construction in Progress (I.T.)","Chief Operating Officer DG","Hitachi Consulting","2260006330",228483,"Software for the Finance and Human Resources Implementation costs - Cycle 2","SE1 2AP","SME","CAP080","CAPDFA03","Asset",""
"122","DEFRA","DEFRA",2015-01-22,"Clearing Construction in Progress (I.T.)","Chief Operating Officer DG","Hitachi Consulting","2260006331",228483,"Software for the Finance and Human Resources Implementation costs - Cycle 1","SE1 2AP","SME","CAP080","CAPDFA03","Asset",""
"123","DEFRA","DEFRA",2015-01-14,"Other Current Payments (Evidence R&D)","Strategy, International and Biosecurity DG","I C F Consulting Services Ltd","30406656",68775,"Local Nature Partnerships evaluation - Phase 2","EC4M 5SB","","NR0160","00000000","Expense",""
"124","DEFRA","DEFRA",2015-01-02,"End User Equipment Services","Chief Operating Officer DG","IBM United Kingdom Ltd","5912140209",-138526.37,"Credit - server reclassification","GU1 2LD","SME","","00000000","Expense",""
"125","DEFRA","DEFRA",2015-01-02,"Business Innovation","Chief Operating Officer DG","IBM United Kingdom Ltd","5912140173",-55099.62,"Volumetric credit adjustments for the actual number of users - 2014","GU1 2LD","SME","","CINNOV00","Expense",""
"126","DEFRA","DEFRA",2015-01-05,"Other Current Payments E","Strategy, International and Biosecurity DG","IBM United Kingdom Ltd","5812141378",41218.56,"Connections Adoption Support for Network Corporate Services Pilot - 19 September-21 November 2014","GU1 2LD","SME","","PITF0301","Expense",""
"127","DEFRA","DEFRA",2015-01-06,"Business & Technical/Consultancy Assignments","Chief Operating Officer DG","IBM United Kingdom Ltd","5812141217",111101.29,"Connectivity via Virtual Private Network - December 2014","GU1 2LD","SME","10040","00000000","Expense",""
"128","DEFRA","DEFRA",2015-01-06,"Work package/WPO Implementation","Chief Operating Officer DG","IBM United Kingdom Ltd","5812141213",46207.87,"Exchange 2003 Upgrade Project implementation - November 2014","GU1 2LD","SME","10040","PTRS0100","Expense",""
"129","DEFRA","DEFRA",2015-01-06,"Work package/WPO Implementation","Chief Operating Officer DG","IBM United Kingdom Ltd","5812140808",31259.09,"Technology Refresh Phase 2 - November 2014","GU1 2LD","SME","10040","P12TR020","Expense",""
"130","DEFRA","DEFRA",2015-01-14,"Contractor - Management Cover","Chief Operating Officer DG","IBM United Kingdom Ltd","5812142047",34294.58,"Common Agricultural Policy Delivery Framework - 4 April-23 May 2014","GU1 2LD","SME","10040","00000000","Expense",""
"131","DEFRA","DEFRA",2015-01-20,"IT Software","Chief Operating Officer DG","IBM United Kingdom Ltd","5801150218",65924.84,"SharePoint 2013 - Detailed design project implementation - 3 October-14 November 2014","GU1 2LD","SME","10040","PITF0300","Expense",""
"132","DEFRA","DEFRA",2015-01-20,"End User Equipment Services","Chief Operating Officer DG","IBM United Kingdom Ltd","5812142029",81829.06,"Desktop Services - April-August 2014","GU1 2LD","SME","10040","QLAPT100","Expense",""
"133","DEFRA","DEFRA",2015-01-20,"Application Services/Applications Delivery","Chief Operating Officer DG","IBM United Kingdom Ltd","5801150215",74495.12,"Early Engagement project implementation - November 2014","GU1 2LD","SME","10040","PITF0600","Expense",""
"134","DEFRA","DEFRA",2015-01-28,"Clearing Construction in Progress (Building Works)","Chief Operating Officer DG","IBM United Kingdom Ltd","5801150455",95116,"Polwhele refurbishment project - provision of new cabling solution - December 2014","GU1 2LD","SME","10040","B067P001","Asset",""
"135","DEFRA","DEFRA",2015-01-30,"IBM Base Services Control","Chief Operating Officer DG","IBM United Kingdom Ltd","5801151098",5805316.02,"Baseline IT services - 2014-15 Quarter 4","GU1 2LD","SME","10040","00000000","Expense",""
"136","DEFRA","DEFRA",2015-01-26,"Other Current Payments (Evidence R&D)","Policy Delivery DG","International Development UEA","986772",29463.24,"Sustainable Agriculture Innovation Network secretariat - October-December 2014","NR4 7TJ","","20017","00000000","Expense",""
"137","DEFRA","DEFRA",2015-01-28,"Overhead Incidental Expenses","Policy Delivery DG","International Whaling Commission","0000012239",71742,"Financial contribution to International Whaling Commission - January-December 2015","CB4 9NP","SME","FUNDING","00000000","Expense",""
"138","DEFRA","DEFRA",2015-01-14,"Reactive Element of Core IFM fee","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00040626",579830.69,"Repair and Replacement Fund for the Defra Estate - December 2014","BS32 4NH","","10195L","00000000","Expense",""
"139","DEFRA","DEFRA",2015-01-14,"Estates IFM Pass- Through Maintenance","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00040375",65291.85,"Consumables provided to various sites as part of the Facilities Management contract - November 2014","BS32 4NH","","10226","00000000","Expense",""
"140","DEFRA","DEFRA",2015-01-14,"Other Current Payments E","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00040376",48261.6,"Consumables provided to various sites as part of the Facilities Management contract - November 2014","BS32 4NH","","10226","00000000","Expense",""
"141","DEFRA","DEFRA",2015-01-14,"Estates IFM Core Maintenance","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00040627",2155205.7,"Core Facilities Management fee - December 2014","BS32 4NH","","10321","00000000","Expense",""
"142","DEFRA","DEFRA",2015-01-16,"FM Projects Non Capital Works","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00040620",112481,"Refurbishment of 3 Whitehall Place including decorations, room reconfiguration,  mechanical, electrical and data work - December 2014","BS32 4NH","","10195L","B1910000","Expense",""
"143","DEFRA","DEFRA",2015-01-16,"FM Projects Non Capital Works","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00040617",40328.24,"3 Whitehall Place ventilation validation survey - December 2014","BS32 4NH","","10195L","B1910000","Expense",""
"144","DEFRA","DEFRA",2015-01-16,"FM Projects Non Capital Works","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00040615",43605.6,"3 Whitehall Place refurbishment project valuation - December 2014","BS32 4NH","","10195L","B1910000","Expense",""
"145","DEFRA","DEFRA",2015-01-20,"Agency Recharge","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00040581",94897.46,"Weymouth Business Management System replacement - December 2014","BS32 4NH","","21534","B082P003","Asset",""
"146","DEFRA","DEFRA",2015-01-26,"FM Projects Non Capital Works","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00040544",83039.57,"Estates maintenance projects over multiple sites - December 2014","BS32 4NH","","10195L","B0870000","Expense",""
"147","DEFRA","DEFRA",2015-01-26,"FM Projects Non Capital Works","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00040546",129432.78,"Estates maintenance projects over multiple sites - December 2014","BS32 4NH","","10195L","B0870000","Expense",""
"148","DEFRA","DEFRA",2015-01-30,"Agency Recharge","Chief Operating Officer DG","Interserve (Facilities Mngmnt) Ltd","FI00040622",183834.46,"Replacement of steam and condensate pipework distribution - Animal Health and Veterinary Laboratory Agency, Weybridge - December 2014","BS32 4NH","","","B0870000","Asset",""
"149","DEFRA","DEFRA",2015-01-06,"Publications - Storage & Distribution (C)","Chief Operating Officer DG","Iron Mountain (UK) Ltd","RX10728RX10745",57764.28,"Record Management contract - October 2014","EH54 7DF","","21461","00000000","Expense",""
"150","DEFRA","DEFRA",2015-01-05,"Grant-in Aid Payments","Policy Delivery DG","Joint Nature Conservation Committee","020115",943000,"Grant in aid - January 2015","PE1 1JY","SME","GIA","00000000","Expense",""
"151","DEFRA","DEFRA",2015-01-02,"Civil service Pension Administration","Chief Operating Officer DG","JSS Pensions Administration","RCPS10398",47005.44,"Pension payments for the former Horticulture Research International staff - December 2014","SN2 1FF","","16500","00000000","Expense",""
"152","DEFRA","DEFRA",2015-01-12,"Other Current Payments E","Policy Delivery DG","JSS Pensions Administration","RCPS10400",111071.17,"Pension payments made to members of the Nature Conservancy Council (NCC) pension scheme - December 2014","SN2 1FF","","re-charge","00000000","Expense",""
"153","DEFRA","DEFRA",2015-01-26,"Civil service Pension Administration","Chief Operating Officer DG","JSS Pensions Administration","RCPS10325",41347.31,"Pension payments for the former Horticulture Research International staff - August 2014","SN2 1FF","","16500","00000000","Expense",""
"154","DEFRA","DEFRA",2015-01-20,"Evidence Non R&D","Policy Delivery DG","Keep Britain Tidy","109194",41666.67,"Keep Britain Tidy Grant - January 2015","WN3 4EX","SME","Grant","00000000","Expense",""
"155","DEFRA","DEFRA",2015-01-30,"Clearing Construction in Progress (Building Works)","Chief Operating Officer DG","Kier Construction Western & Wales","14070015",115983.35,"Fees for the strip-out and refurbishment works at Polwhele and for relocation from Pydar House, Truro - January 2015","BS15 4WW","","20397","B067P001","Asset",""
"156","DEFRA","DEFRA",2015-01-05,"Capital LA Grant E","Policy Delivery DG","Kings Lynn & West Norfolk B C","ZZIN001008",36620.01,"Repair and Renew grant for flood-affected properties - 2014-15 Quarter 2","PE30 1EX","","Grant","00000000","Expense",""
"157","DEFRA","DEFRA",2015-01-08,"Other Current Payments (Evidence R&D)","Strategy, International and Biosecurity DG","L G C Limited","50365035",109981,"Technical development of Bovine Tuberculosis testing and participation in the Bovine Tuberculosis ring trial ","TW11 0LY","SME","SE3286","00000000","Expense",""
"158","DEFRA","DEFRA",2015-01-16,"Current Grants E","Strategy, International and Biosecurity DG","L T S International Ltd","2492",28166.93,"Administration of the Darwin Initiative Grant Scheme - December 2014","EH26 0PH","SME","GIA","00000000","Expense",""
"159","DEFRA","DEFRA",2015-01-08,"Current Grants E","Policy Delivery DG","Lake District National Park Auth","081214",1277700,"Grant - 2014-15 Quarter 4","LA9 7RL","SME","GIA","LAKEDIST","Expense",""
"160","DEFRA","DEFRA",2015-01-20,"Programme Consultancy Costs","Policy Delivery DG","Local Partnerships LLP","41101587",162328.99,"Contract for the provision of support for Waste Infrastructure Delivery Programme - December 2014","SW1P 3HZ","SME","14265","WFUNDCON","Expense",""
"161","DEFRA","DEFRA",2015-01-05,"Other Current Payments (Evidence R&D)","Policy Delivery DG","LRS Consultancy Ltd","2171",40864.94,"Recovery of Aluminium from Flexible Packaging trials - 2014-15","EC4A 2AB","SME","EV0547","00000000","Expense",""
"162","DEFRA","DEFRA",2015-01-14,"IT Software","Chief Operating Officer DG","M D S Technologies Ltd","3895",192656.76,"Hosting to support the test and development environments for Common Agriculture Policy Delivery - 2014-15 - November 2014","SN13 9GB","SME","cap024","CAPDFA08","Expense",""
"163","DEFRA","DEFRA",2015-01-14,"IT Software","Chief Operating Officer DG","M D S Technologies Ltd","3916",89945.94,"Hosting to support the test and development environments for Common Agriculture Policy Delivery - 2014-15 - Funding increase","SN13 9GB","SME","","CAPDFA08","Expense",""
"164","DEFRA","DEFRA",2015-01-16,"IT Software","Chief Operating Officer DG","M D S Technologies Ltd","3969",154599.71,"Hosting to support the test and development environments for Common Agriculture Policy Delivery - 2014-15 - December 2014","SN13 9GB","SME","","CAPDFA08","Expense",""
"165","DEFRA","DEFRA",2015-01-02,"Grant-in Aid Payments","Policy Delivery DG","Marine Management Organisation","311214",2250000,"Grant in aid - January 2015","NE4 7YH","","Grant","00000000","Expense",""
"166","DEFRA","DEFRA",2015-01-28,"Current Grants E","Policy Delivery DG","Met Office","I0095531",566000,"Grant - 2014-15 Quarter 4","EX1 3PB","","GIA","00000000","Expense",""
"167","DEFRA","DEFRA",2015-01-30,"Estates Professional Fees & Services","Chief Operating Officer DG","Montagu Evans LLP","VA150487",66000,"Provision of an Interim Asset Valuation as at 31 December 2014 and Final Asset Valuation as at 31 March 2015","W1J 8BA","SME","","00000000","Expense",""
"168","DEFRA","DEFRA",2015-01-30,"Current Grants E","Policy Delivery DG","National Farmers Union","OP0029775",159521,"The Campaign for the Farmed Environment - October-December 2014","CV8 2TZ","SME","26033","00000000","Expense",""
"169","DEFRA","DEFRA",2015-01-12,"Other Current Payments (Evidence R&D)","Policy Delivery DG","National Physical Laboratory","5022304",71791,"Provision of Validation of Alternative Methods for Monitoring of Landfill Methane Emissions","TW11 0LW","SME","","00000000","Expense",""
"170","DEFRA","DEFRA",2015-01-28,"Other Current Payments (Evidence R&D)","Policy Delivery DG","National Physical Laboratory","123611",25932.34,"Airborne Particulate Concentrations and numbers in the United Kingdom - October-December 2014","TW11 0LW","SME","AQ0604","AQRDXXXX","Expense",""
"171","DEFRA","DEFRA",2015-01-30,"Other Current Payments (Evidence R&D)","Policy Delivery DG","National Physical Laboratory","123228",25932.34,"Airborne Particulate Concentrations and numbers in the United Kingdom - 2014-15 Phase 2","TW11 0LW","SME","AQ0604","AQRDXXXX","Expense",""
"172","DEFRA","DEFRA",2015-01-06,"Grant-in Aid Payments","Policy Delivery DG","Natural England","161214",1.3e+07,"Grant in aid - January 2015","YO1 7PX","","IGS GIA","00000000","Expense",""
"173","DEFRA","DEFRA",2015-01-20,"Inwards Secondments","Chief Operating Officer DG","Natural England","8000019118",36315.05,"Inward secondment of one person to the Common Agricultural Policy Delivery Programme - 2014-15 Quarter 1","YO1 7PX","","IGS","CAPDFA10","Expense",""
"174","DEFRA","DEFRA",2015-01-20,"Inwards Secondments","Strategy, International and Biosecurity DG","Natural England","8000020523",34459.06,"Inward secondment of one person - 21 July-28 November 2014","YO1 7PX","","IGS","00000000","Expense",""
"175","DEFRA","DEFRA",2015-01-26,"Salary - Permanent Staff","Strategy, International and Biosecurity DG","Natural England","8000020683",34647.39,"Inward secondment of one person - April-September 2014","YO1 7PX","","IGS","00000000","Expense",""
"176","DEFRA","DEFRA",2015-01-26,"Salary - Permanent Staff","Strategy, International and Biosecurity DG","Natural England","8000020684",37080.9,"Inward secondment of one person - April-August 2014","YO1 7PX","","IGS","00000000","Expense",""
"177","DEFRA","DEFRA",2015-01-26,"Inwards Secondments","Chief Operating Officer DG","Natural England","8000019120",29063.44,"Inward secondment of one person to the Common Agricultural Policy Delivery Programme - October 2014","YO1 7PX","","IGS","CAPDBA00","Expense",""
"178","DEFRA","DEFRA",2015-01-20,"Other Current Payments (Evidence R&D)","Strategy, International and Biosecurity DG","Natural Environ Research Council","NERC13534",1e+05,"Annual contribution to the UK Environmental Observation Framework - 2014-15","SN2 1EU","","","00000000","Expense",""
"179","DEFRA","DEFRA",2015-01-20,"Evidence Non R&D","Strategy, International and Biosecurity DG","Natural Environ Research Council","NERC14357",51532,"Annual contribution to Living With Environmental Change (LWEC) Partnership - 2014-15","SN2 1EU","","","UKRPARTN","Expense",""
"180","DEFRA","DEFRA",2015-01-23,"Current Grants E","Strategy, International and Biosecurity DG","Nature Kenya the E A N H S","200115",51278,"Darwin project - 2014-15 Quarter 2 and 3","","","","DARWDFID","Expense",""
"181","DEFRA","DEFRA",2015-01-20,"Capital LA Grant E","Policy Delivery DG","New Forest District Council","1003919040141842",45087.5,"Repair and Renew Grant for flood-affected properties - 2014-15 Quarter 2","SO43 7PA","SME","Grant","00000000","Expense",""
"182","DEFRA","DEFRA",2015-01-08,"Current Grants E","Policy Delivery DG","New Forest National Park Auth","231214",750210,"Grant - 2014-15 Quarter 4","SO41 9ZG","SME","GIA","NEFOREST","Expense",""
"183","DEFRA","DEFRA",2015-01-05,"Capital LA Grant E","Policy Delivery DG","North Lincolnshire Council","N0017524",93110.34,"Repair and Renew Grant for flood-affected properties - 2014-15 Quarter 2","DN16 1AB","","GRANT","00000000","Expense",""
"184","DEFRA","DEFRA",2015-01-08,"Current Grants E","Policy Delivery DG","North York Moors National Park","231214",1041308,"Grant - 2014-15 Quarter 4","YO62 5BP","SME","GIA","YORKMOOR","Expense",""
"185","DEFRA","DEFRA",2015-01-30,"Current Grants E","Policy Delivery DG","North Yorkshire County Council","210115",88139,"Area of Outstanding Natural Beauty Grant - Howardian Hills - April 2014-January 2015","DL7 8AL","","","HOWARD01","Expense",""
"186","DEFRA","DEFRA",2015-01-08,"Current Grants E","Policy Delivery DG","Northumberland Nat Park Authority","231214",567562,"Grant - 2014-15 Quarter 4","NE46 1BS","SME","GIA","NORTHUMB","Expense",""
"187","DEFRA","DEFRA",2015-01-12,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Nottingham Trent University","01177497",36993,"Validation of Western blot methods to monitor the presence of added bovine and porcine blood proteins in meat products - 2014-15","NG11 8NS","","FA0122","SFFS0003","Expense",""
"188","DEFRA","DEFRA",2015-01-07,"Other Current Payments (GB)","Strategy, International and Biosecurity DG","O E P P / E P P O","060115",94392,"Annual subscription to European and Mediterranean Plant Protection Organisation - 2015","75011","","","00000000","Expense",""
"189","DEFRA","DEFRA",2015-01-28,"Other Current Payments (GB)","Policy Delivery DG","O S P A R Commission","011114",266824.85,"UK annual contribution to the Convention for the Protection of the  Marine Environment (OSPAR Convention) - 2015","WC2A 2JQ","SME","Funding","00000000","Expense",""
"190","DEFRA","DEFRA",2015-01-08,"Other Current Payments (GB)","Strategy, International and Biosecurity DG","Office International Des Epizooties","060115",124128.75,"UK annual contribution to the World Organisation for Animal Health (OIE) - 2015","75017","SME","","00000000","Expense",""
"191","DEFRA","DEFRA",2015-01-08,"Current Grants E","Policy Delivery DG","Peak District National Park Auth","231214",567867,"Grant - 2014-15 Quarter 4","DE45 1AE","SME","GIA","PEAKDIST","Expense",""
"192","DEFRA","DEFRA",2015-01-16,"Other Current Payments (Evidence R&D)","Policy Delivery DG","R S P B","SLINV00027260",53837,"Reducing the impacts of predation on breeding waders using landscape-scale habitat management - 2014-15","SG19 2DL","","LM0301","00000000","Expense",""
"193","DEFRA","DEFRA",2015-01-26,"Current Grants E","Strategy, International and Biosecurity DG","R S P B","241214",49361.25,"Conserving the critically endangered Bengal Florican - a Terai flagship species - 2014-15 Quarter 3","SG19 2DL","","Exempt","DARWDFID","Expense",""
"194","DEFRA","DEFRA",2015-01-05,"Redfern Suspense","Central Finance Group","Redfern Travel Ltd","095300",299602.28,"Business-related train travel - November 2014","BD1 3AZ","SME","","00000000","Asset",""
"195","DEFRA","DEFRA",2015-01-14,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Regeneris Consulting Limited","20142813",96856.8,"Rural Communities Broadband fund evaluation - December 2014","M1 4DY","SME","Exempt","00000000","Expense",""
"196","DEFRA","DEFRA",2015-01-14,"Evidence Non R&D","Policy Delivery DG","Ricardo-A E A Ltd","6157880",102247.8,"Hydrocarbons Monitoring Network - October-December 2014","OX11 0QR","","","AQNONRDX","Expense",""
"197","DEFRA","DEFRA",2015-01-28,"Other Current Payments E","Policy Delivery DG","Ricardo-A E A Ltd","6158135",44942.4,"Provision of the Water technology list - October-December 2014","OX11 0QR","","20191","00000000","Expense",""
"198","DEFRA","DEFRA",2015-01-30,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Ricardo-A E A Ltd","6157994",31058,"Modelling of Ambient Air Quality (MAAQ) - October 2014","OX11 0QR","","AQ0650","AQRDXXXX","Expense",""
"199","DEFRA","DEFRA",2015-01-27,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Rothamsted Research Ltd","ERS-550854-50919",42203.5,"Catchment scale testing of measures to mitigate diffuse agricultural pollution on the Hampshire Avon - December 2014-January 2015","AL5 2JQ","","S/BILL","00000000","Expense",""
"200","DEFRA","DEFRA",2015-01-02,"Grant-in Aid Payments","Policy Delivery DG","Royal Botanic Gardens Kew","KEWGIA101415",2550000,"Grant in aid - January 2015","TW9 3AB","","GIA","00000000","Expense",""
"201","DEFRA","DEFRA",2015-01-06,"Excess Fares","Chief Operating Officer DG","Rural Payments Agency","ARI000252",31518.64,"Travel claims paid to Rural Payment Agency staff as a result of their relocation from Northallerton to York to save the property costs of the Northallerton site - November 2014","RG1 1AF","SME","DFP","B1850000","Expense",""
"202","DEFRA","DEFRA",2015-01-06,"Excess Fares","Chief Operating Officer DG","Rural Payments Agency","ARI000065",37733.3,"Travel claims paid to Rural Payment Agency staff as a result of their relocation from Northallerton to York to save the property costs of the Northallerton site - June 2014","RG1 1AF","SME","DFP","B1850000","Expense",""
"203","DEFRA","DEFRA",2015-01-05,"Contracted Out Services  - Variable Charges","Chief Operating Officer DG","Shared Services Connected Ltd","100000614",502091.8,"Shared Services provided by Steria - fixed monthly charge - January 2015","HP2 7AH","","ecm_4524","00000000","Expense",""
"204","DEFRA","DEFRA",2015-01-16,"Contractor - Management Cover","Chief Operating Officer DG","Shared Services Connected Ltd","100000717",40200,"Contractor salary for one person covering the Transformation Data Migration Lead - October 2014","HP2 7AH","","21344","00000000","Expense",""
"205","DEFRA","DEFRA",2015-01-08,"Current Grants E","Policy Delivery DG","South Downs National Park Authority","091214",2952034,"Grant - 2014-15 Quarter 4","GU29 9SB","","GIA","SDOWNS01","Expense",""
"206","DEFRA","DEFRA",2015-01-20,"Other Current Payments E","Strategy, International and Biosecurity DG","South Western B P S (UK) Ltd","30000168",34492.14,"Provision of an electronic reporting system and database for sheep, goats and deer (variable costs) - December 2014","NW1 5RA","SME","17731","00000000","Expense",""
"207","DEFRA","DEFRA",2015-01-16,"Clearing Construction in Progress (I.T.)","Chief Operating Officer DG","Specialist Computer Centres","OPL939926",497706.99,"Kainos Programme Resourcing Agile Developer - sprint 26","B11 2LE","SME","CAP010","CAPDFA01","Asset",""
"208","DEFRA","DEFRA",2015-01-16,"Clearing Construction in Progress (I.T.)","Chief Operating Officer DG","Specialist Computer Centres","OPL943570",508876.27,"Kainos Programme Resourcing Agile Developer - sprint 27","B11 2LE","SME","CAP010","CAPDFA01","Asset",""
"209","DEFRA","DEFRA",2015-01-26,"Clearing Construction in Progress (I.T.)","Chief Operating Officer DG","Specialist Computer Centres","OPL928624",581310.01,"IT services for the Common Agricultural Policy Delivery Programme - 2014-15","B11 2LE","SME","CAP081","CAPDFA01","Asset",""
"210","DEFRA","DEFRA",2015-01-26,"Contractor - Management Cover","Chief Operating Officer DG","Specialist Computer Centres","OPL941121",123222.13,"IT services for the Common Agricultural Policy Delivery Programme work package 10 - June-October 2014","B11 2LE","SME","CAP081","CAPDFA01","Asset",""
"211","DEFRA","DEFRA",2015-01-22,"Current Grants - Local Authorities","Policy Delivery DG","Swindon Borough Council","160115",112405.41,"Flood Resilience Community Pathfinder Funding Grant - 2014-15","SN1 2JH","","","00000000","Expense",""
"212","DEFRA","DEFRA",2015-01-05,"Capital LA Grant E","Policy Delivery DG","Taunton Deane Borough Council","60472355",62878.8,"Repair and Renew grant for flood-affected properties - September 2014","TA1 1HE","","Grant","00000000","Expense",""
"213","DEFRA","DEFRA",2015-01-26,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Technology Strategy Board","001117",2500000,"Sustainable Agriculture and Food Innovation Platform (SAFIP) contribution - 2014-15 Quarter 1 and 2","SN2 1JF","","","00000000","Expense",""
"214","DEFRA","DEFRA",2015-01-22,"Capital LA Grant E","Policy Delivery DG","Test Valley Borough Council","10019111",57547,"Repair and Renew grant for flood-affected properties - 2014-15 Quarter 2","SP10 3AJ","","Grant","00000000","Expense",""
"215","DEFRA","DEFRA",2015-01-06,"Grant-in Aid Payments","Policy Delivery DG","The National Forest Co","171214",295499,"Grant in aid - January 2015","DE12 6BA","SME","GIA","00000000","Expense",""
"216","DEFRA","DEFRA",2015-01-27,"Other Current Payments (Evidence R&D)","Strategy, International and Biosecurity DG","The Pirbright Institute","ERS-550737-50955",35008.83,"Molecular epidemiology of Foot and Mouth Disease virus - January 2015","GU24 0NF","","SE2940","00000000","Expense",""
"217","DEFRA","DEFRA",2015-01-27,"Other Current Payments (Evidence R&D)","Strategy, International and Biosecurity DG","The Pirbright Institute","ERS-550733-50952",71295.08,"Further development of Reverse Transcription - Polymerase Chain Reaction technology in support of Foot and Mouth Disease diagnosis - January 2015","GU24 0NF","","exempt","00000000","Expense",""
"218","DEFRA","DEFRA",2015-01-26,"Treasury Solicitors","Chief Operating Officer DG","Treasury Solicitors Department","A2081",1669931.77,"Charge for outsourced Legal Advice - 2014-15 Quarter 4","WC2B 4TS","","exempt","00000000","Expense",""
"219","DEFRA","DEFRA",2015-01-05,"Capital LA Grant E","Policy Delivery DG","Tunbridge Wells Borough Council","D0029096",26180.43,"Repair and Renew grant for flood-affected properties - 2014-15 Quarter 2","TN1 1RS","","Grant","00000000","Expense",""
"220","DEFRA","DEFRA",2015-01-22,"Other Current Payments (Evidence R&D)","Policy Delivery DG","University Of Brighton","U0102456B000040515373632",38310.4,"Water Efficiency project - Phase 1 ","BN2 4AT","","21379","00000000","Expense",""
"221","DEFRA","DEFRA",2015-01-26,"Other Current Payments (Evidence R&D)","Policy Delivery DG","University Of Brighton","U0104524B000041278381132",38310.4,"Water Efficiency project - Phase 2","BN2 4AT","","21379","00000000","Expense",""
"222","DEFRA","DEFRA",2015-01-16,"Other Current Payments (Evidence R&D)","Policy Delivery DG","University Of Bristol","130115",33691.5,"Catchment scale testing of measures to mitigate diffuse agricultural pollution on the Hampshire Avon - December 2014-January 2015","BS8 1TH","","","00000000","Expense",""
"223","DEFRA","DEFRA",2015-01-20,"Other Current Payments (Evidence R&D)","Strategy, International and Biosecurity DG","University Of Glasgow","1401154245240",35377,"Development and testing of operational models of Bovine Tuberculosis in British cattle and badgers - January 2015","G12 8QQ","","SE3290","00000000","Expense",""
