"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (<U+00A3>)","Payscale Maximum (<U+00A3>)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"205","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-053","EO",21438,30275,"Executive Assistant",1,"Human Resources"
"206","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-053","EO",21438,30275,"Finance Support Officer",1,"Human Resources"
"207","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-053","AO",17209,23567,"HR support officer",2,"Human Resources"
"208","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD018","G6",57075,75035,"Senior HR Manager",1,"Human Resources"
"209","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD018","G7",45299,61976,"Senior HR Manager",4.24,"Human Resources"
"210","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD018","SEO",33675,45769,"HR Officer",1.6,"Human Resources"
"211","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD018","HEO",26492,37316,"HR Officer",1,"Human Resources"
"212","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD018","EO",21438,30275,"Executive Assistant",1,"Human Resources"
"213","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD018","AO",17209,23567,"HR Support Officer",0.89,"Human Resources"
"214","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-014","G6",57075,75035,"Senior HR Manager",3.69,"Human Resources"
"215","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-014","G7",45299,61976,"Senior HR Manager",1,"Human Resources"
"216","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-014","EO",21438,30275,"Executive Assistant",1,"Human Resources"
"217","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-014","EO",21438,30275,"HR support officer",0.97,"Human Resources"
"218","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-014","AO",17209,23567,"PA Support",1,"Human Resources"
"219","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-058","G6",57075,75035,"Senior IT Manager",3,"Information Technology"
"220","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-058","G7",45299,61976,"Senior Technical Adviser",1,"Information Technology"
"221","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-058","G7",45299,61976,"Senior Project Manager",3.6,"Information Technology"
"222","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-058","G7",45299,61976,"Senior Information Manager",1,"Knowledge and Information Management (KIM)"
"223","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-058","SEO",33675,45769,"IT Manager",3,"Information Technology"
"224","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-058","SEO",33675,45769,"Knowledge Information Management Manager",1,"Knowledge and Information Management (KIM)"
"225","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-058","SEO",33675,45769,"Development Manager",1,"Information Technology"
"226","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-058","HEO",26492,37316,"IT Manager",1,"Information Technology"
"227","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-058","EO",21438,30275,"Project Support Officer",3,"Information Technology"
"228","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-016","G6",57075,75035,"Senior Policy Manager",0.89,"Policy"
"229","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-016","G6",57075,75035,"Senior Project Manager",0.9,"Policy"
"230","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-016","G6",57075,75035,"Senior Information Manager",0.61,"Policy"
"231","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-016","G7",45299,61976,"Senior Finance Manager",1,"Policy"
"232","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-016","G7",45299,61976,"Section Head",2,"Policy"
"233","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-016","SEO",33675,45769,"Policy Manager",2,"Policy"
"234","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-016","HEO",26492,37316,"Policy Support Officer",2.8,"Policy"
"235","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-016","HEO",26492,37316,"Assistant Finance Manager",3.83,"Finance"
"236","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-016","EO",21438,30275,"Team Support Officer",4,"Policy"
"237","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-016","EO",21438,30275,"Finance Support Officer",1,"Finance"
"238","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-016","EO",21438,30275,"Business Manager",1,"Policy"
"239","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-016","AO",17209,23567,"Finance Support Officer",1.69,"Finance"
"240","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-016","AO",17209,23567,"Team Support Officer",0.83,"Policy"
"241","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-051","G6",57075,75035,"Deputy Head of Unit",1,"Policy"
"242","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-051","G7",45299,61976,"Senior Operational Manager",1,"Property and asset management"
"243","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-051","G7",45299,61976,"Senior Knowledge Information Management Manager",1,"Knowledge and Information Management (KIM)"
"244","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-051","G7",45299,61976,"Senior Project Manager",1,"Programme and Project Management (PPM)"
"245","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-051","G7",45299,61976,"Senior Information Manager",1,"Knowledge and Information Management (KIM)"
"246","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-051","SEO",33675,45769,"Knowledge Information Management Manager",6,"Knowledge and Information Management (KIM)"
"247","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-051","SEO",33675,45769,"IT Manager",0.6,"Information Technology"
"248","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-051","HEO",26492,37316,"Knowledge Information Management Manager",7.21,"Knowledge and Information Management (KIM)"
"249","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-051","EO",21438,30275,"Knowledge Information Management Support Officer",11.4,"Knowledge and Information Management (KIM)"
"250","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-051","EO",21438,30275,"Team Support Officer",2,"Knowledge and Information Management (KIM)"
"251","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-051","AO",17209,23567,"Admin support",1,"Knowledge and Information Management (KIM)"
"252","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-051","AO",17209,23567,"PA Support",1,"Operational Delivery"
"253","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-051","AO",17209,23567,"Knowledge Information Management Support Officer",7,"Knowledge and Information Management (KIM)"
"254","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-121","G7",45299,61976,"Senior Internal Auditor",4,"Internal Audit"
"255","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-121","SEO",33675,45769,"Senior Internal Auditor",8,"Internal Audit"
"256","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-121","HEO",26492,37316,"Internal Auditor",3.37,"Internal Audit"
"257","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-121","EO",21438,30275,"Business Support Officer",2.43,"Internal Audit"
"258","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-121","SEO",33675,45769,"Senior Business Manager",1,"Internal Audit"
"259","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-121","HEO",26492,37316,"Business Manager",1,"Internal Audit"
"260","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-054","G6",57075,75035,"Senior Operational Manager",1.81,"Operational Delivery"
"261","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-054","G7",45299,61976,"Senior Business Manager",1,"Operational Delivery"
"262","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-054","G7",45299,61976,"Senior Policy Manager",0.76,"Operational Delivery"
"263","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-054","G7",45299,61976,"Operational Manager",2,"Operational Delivery"
"264","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-054","SEO",33675,45769,"Operational Support Officer",1,"Operational Delivery"
"265","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-054","SEO",33675,45769,"Business Manager",1,"Operational Delivery"
"266","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-054","SEO",33675,45769,"Operational Manager",1,"Operational Delivery"
"267","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-054","HEO",26492,37316,"Operational Support Officer",5,"Operational Delivery"
"268","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-054","HEO",26492,37316,"Business Support Officer",1,"Operational Delivery"
"269","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-054","EO",21438,30275,"Team Support Officer",2.81,"Operational Delivery"
"270","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-054","EO",21438,30275,"Operational Support Officer",3,"Operational Delivery"
"271","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-054","AO",17209,23567,"Admin support",1,"Operational Delivery"
"272","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-005","EO",21438,30275,"Admin support",1,"Operational Delivery"
"273","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-005","EO",21438,30275,"Diary Manager",1,"Operational Delivery"
"274","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-005","G6",57075,75035,"Business Manager",1,"Operational Delivery"
"275","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-005","FS",29992,41546,"Assistant Private Secretary",1,"Operational Delivery"
"276","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-005","G6",57075,75035,"Senior Project Manager",1,"Operational Delivery"
"277","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-2194","G6",57075,75035,"Project Manager",1,"Operational Delivery"
"278","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-2194","G7",45299,61976,"Programme Manager",1,"Programme and Project Management (PPM)"
"279","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-2194","G7",45299,61976,"Project Manager",3,"Operational Delivery"
"280","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-2194","SEO",33675,45769,"Analyst",1,"Operational Delivery"
"281","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-2194","HEO",26492,37316,"Web Manager",1,"Operational Delivery"
"282","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-2194","EO",21438,30275,"Project Support Officer",1,"Operational Delivery"
"283","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-2194","EO",21438,30275,"Analyst",2,"Operational Delivery"
"284","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-2194","EO",21438,30275,"Admin support",2,"Operational Delivery"
"285","Department of Health","Department of Health","Research & Development Directorate","RDD-009","G7",45299,61976,"Policy Manager",3.8,"Policy"
"286","Department of Health","Department of Health","Research & Development Directorate","RDD-009","EO",21438,30275,"Executive Assistant",1,"Policy"
"287","Department of Health","Department of Health","Research & Development Directorate","RDD-009","EO",21438,30275,"Policy Support Officer",1,"Policy"
"288","Department of Health","Department of Health","Research & Development Directorate","RDD-040","G7",45299,61976,"Policy Manager",2,"Policy"
"289","Department of Health","Department of Health","Research & Development Directorate","RDD-040","SEO",33675,45769,"Policy Manager",3,"Policy"
"290","Department of Health","Department of Health","Research & Development Directorate","RDD-040","HEO",26492,37316,"Policy Support Officer",0.6,"Policy"
"291","Department of Health","Department of Health","Research & Development Directorate","RDD-040","EO",21438,30275,"Executive Assistant",1,"Policy"
"292","Department of Health","Department of Health","Research & Development Directorate","RDD-039","G6",57075,75035,"Policy Manager",2,"Policy"
"293","Department of Health","Department of Health","Research & Development Directorate","RDD-039","G7",45299,61976,"Policy Manager",1,"Policy"
"294","Department of Health","Department of Health","Research & Development Directorate","RDD-039","G7",45299,61976,"Policy Manager",1,"Policy"
"295","Department of Health","Department of Health","Research & Development Directorate","RDD-039","FS",29992,41546,"Policy Manager",1,"Policy"
"296","Department of Health","Department of Health","Research & Development Directorate","RDD-039","EO",21438,30275,"Executive Assistant",1,"Policy"
"297","Department of Health","Department of Health","Research & Development Directorate","RDD-039","EO",21438,30275,"Policy Support Officer",1,"Policy"
"298","Department of Health","Department of Health","Research & Development Directorate","RDD-039","AO",17209,23567,"Admin support",1,"Policy"
"299","Department of Health","Department of Health","Research & Development Directorate","RDD-041","G6",57075,75035,"Programme Manager",0.8,"Policy"
"300","Department of Health","Department of Health","Research & Development Directorate","RDD-041","G6",57075,75035,"Finance Manager",0.8,"Policy"
"301","Department of Health","Department of Health","Research & Development Directorate","RDD-041","G6",57075,75035,"Policy Manager",6,"Policy"
"302","Department of Health","Department of Health","Research & Development Directorate","RDD-041","G7",45299,61976,"Policy Manager",3.5,"Policy"
"303","Department of Health","Department of Health","Research & Development Directorate","RDD-041","G7",45299,61976,"Policy Manager",1,"Policy"
"304","Department of Health","Department of Health","Research & Development Directorate","RDD-041","SEO",33675,45769,"Programme Support Officer",3.6,"Policy"
"305","Department of Health","Department of Health","Research & Development Directorate","RDD-041","SEO",33675,45769,"Finance Officer",2,"Policy"
"306","Department of Health","Department of Health","Research & Development Directorate","RDD-041","FS",29992,41546,"Not In Post",1,"Policy"
"307","Department of Health","Department of Health","Research & Development Directorate","RDD-041","HEO",26492,37316,"Business Support Officer",3,"Policy"
"308","Department of Health","Department of Health","Research & Development Directorate","RDD-041","EO",21438,30275,"Finance Support Officer",1,"Policy"
"309","Department of Health","Department of Health","Research & Development Directorate","RDD-041","EO",21438,30275,"Business Support Officer",1.3,"Policy"
"310","Department of Health","Department of Health","Research & Development Directorate","RDD-041","EO",21438,30275,"Executive Assistant",1,"Policy"
"311","Department of Health","Department of Health","Research & Development Directorate","RDD-041","AO",17209,23567,"Admin support",0.6,"Policy"
"312","Department of Health","Department of Health","Research & Development Directorate","RDD-041","AO",17209,23567,"Admin support",1,"Policy"
"313","Department of Health","Department of Health","Research & Development Directorate","RDD-037","G7",45299,61976,"Policy Manager",2,"Policy"
"314","Department of Health","Department of Health","Research & Development Directorate","RDD-037","SEO",33675,45769,"Policy Manager",1,"Policy"
"315","Department of Health","Department of Health","Research & Development Directorate","RDD-037","HEO",26492,37316,"Policy Support Officer",1,"Policy"
"316","Department of Health","Department of Health","Research & Development Directorate","RDD-037","EO",21438,30275,"Executive Assistant",1,"Policy"
"317","Department of Health","Department of Health","Research & Development Directorate","RDD-037","EO",21438,30275,"Policy Support Officer",1,"Policy"
"318","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF042","G6",57075,75035,"Senior Project Manager",0.8,"Policy"
"319","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF042","G7",45299,61976,"Finance Manager",1,"Finance"
"320","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF042","G7",45299,61976,"Analyst",1,"Statisticians"
"321","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF042","G7",45299,61976,"Project Manager",1,"Policy"
"322","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF042","G7",45299,61976,"Analyst",1,"Policy"
"323","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF042","SEO",33675,45769,"Correspondence Manager",1,"Policy"
"324","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF042","SEO",33675,45769,"Communications Manager",1,"Communications"
"325","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF042","SEO",33675,45769,"Analyst",1,"Statisticians"
"326","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF042","SEO",33675,45769,"Finance Officer",2.7,"Policy"
"327","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF042","HEO",26492,37316,"Not In Post",1,"Policy"
"328","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF042","HEO",26492,37316,"Finance Support Officer",1,"Statisticians"
"329","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF042","HEO",26492,37316,"Not In Post",1,"Policy"
"330","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF042","EO",21438,30275,"Project Support Officer",1.6,"Policy"
"331","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF042","EO",21438,30275,"Finance Support Officer",0.8,"Policy"
"332","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF042","AO",17209,23567,"Executive Assistant",1,"Policy"
"333","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF043","G6",57075,75035,"Senior Economist",0.7,"Economics"
"334","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF043","G6",57075,75035,"Senior Development Manager",1.6,"Policy"
"335","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF043","G7",45299,61976,"Economist",1,"Economics"
"336","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF043","G7",45299,61976,"Development Manager",2.9,"Policy"
"337","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF043","G7",45299,61976,"Analyst",1,"Operational Research"
"338","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF043","FS",29992,41546,"Economist",1,"Economics"
"339","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF043","SEO",33675,45769,"Development Manager",3.8,"Policy"
"340","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PSF043","AO",17209,23567,"Not In Post",1,"Policy"
"341","Department of Health","Department of Health","Strategy Finance & NHS Directorate","MD023","G6",57075,75035,"Senior Policy Adviser",1,"Policy"
"342","Department of Health","Department of Health","Strategy Finance & NHS Directorate","MD023","G7",45299,61976,"Senior Policy Adviser",1,"Policy"
"343","Department of Health","Department of Health","Strategy Finance & NHS Directorate","MD023","SEO",33675,45769,"Policy Manager",1,"Policy"
"344","Department of Health","Department of Health","Strategy Finance & NHS Directorate","MD023","HEO",26492,37316,"Policy Manager",2,"Policy"
"345","Department of Health","Department of Health","Strategy Finance & NHS Directorate","MD023","EO",21438,30275,"Policy Support Officer",1,"Policy"
"346","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PR004","G6",57075,75035,"Not In Post",1,"Policy"
"347","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PR004","G6",57075,75035,"Senior Policy Adviser",3,"Policy"
"348","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PR004","G7",45299,61976,"Not In Post",1,"Policy"
"349","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PR004","G7",45299,61976,"Senior Policy Adviser",10,"Policy"
"350","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PR004","HEO",26492,37316,"Policy Adviser",2,"Policy"
"351","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PR004","FS",29992,41546,"Policy Adviser",1,"Policy"
"352","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PR004","HEO",26492,37316,"Not In Post",1,"Policy"
"353","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PR004","EO",21438,30275,"Not In Post",1,"Operational Delivery"
"354","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PR004","SEO",33675,45769,"Policy Adviser",2,"Policy"
"355","Department of Health","Department of Health","Strategy Finance & NHS Directorate","PR004","FS",29992,41546,"Economist",1,"Economics"
"356","Department of Health","Department of Health","Strategy Finance & NHS Directorate","GOA-2194","G7",45299,61976,"Not In Post",1,"Policy"
"357","Department of Health","Department of Health","Strategy Finance & NHS Directorate","GOA-2194","SEO",33675,45769,"Programme Officer Manager",1,"Programme and Project Management (PPM)"
"358","Department of Health","Department of Health","Strategy Finance & NHS Directorate","GOA-2194","G7",45299,61976,"Business Manager",1,"Policy"
"359","Department of Health","Department of Health","Strategy Finance & NHS Directorate","GOA-2194","EO",21438,30275,"Finance Support Officer",0.95,"Policy"
"360","Department of Health","Department of Health","Strategy Finance & NHS Directorate","GOA-2194","G6",57075,75035,"Not In Post",1,"Policy"
"361","Department of Health","Department of Health","Strategy Finance & NHS Directorate","GOA-2194","EO",21438,30275,"Not In Post",1,"Policy"
"362","Department of Health","Department of Health","Strategy Finance & NHS Directorate","GOA-2194","EO",21438,30275,"Programme Support Officer",1,"Policy"
"363","Department of Health","Department of Health","Strategy Finance & NHS Directorate","GOA-2194","HEO",26492,37316,"Programme Support Officer",1,"Programme and Project Management (PPM)"
"364","Department of Health","Department of Health","Strategy Finance & NHS Directorate","GOA-2194","HEO",26492,37316,"Project Support Officer",1,"Policy"
"365","Department of Health","Department of Health","Strategy Finance & NHS Directorate","GOA-2194","EO",21438,30275,"Diary Manager",1,"Policy"
"366","Department of Health","Department of Health","Strategy Finance & NHS Directorate","FPO024","G7",45299,61976,"Senior Policy Manager",1,"Policy"
"367","Department of Health","Department of Health","Strategy Finance & NHS Directorate","FPO024","G7",45299,61976,"Commercial Manager",8,"Finance"
"368","Department of Health","Department of Health","Strategy Finance & NHS Directorate","FPO024","G7",45299,61976,"Commercial Manager",2,"Finance"
"369","Department of Health","Department of Health","Strategy Finance & NHS Directorate","FPO024","HEO",26492,37316,"Policy Support Officer",1,"Policy"
"370","Department of Health","Department of Health","Strategy Finance & NHS Directorate","FPO024","HEO",26492,37316,"Finance Officer",1,"Finance"
"371","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-125","G6",57075,75035,"Not In Post",1,"Finance"
"372","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-125","G6",57075,75035,"Senior Commercial Finance Manager",12,"Finance"
"373","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-125","G7",45299,61976,"Commercial Finance Officer",12,"Finance"
"374","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-125","SEO",33675,45769,"Briefing Manager",1,"Finance"
"375","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-125","HEO",26492,37316,"Briefing Manager",1,"Finance"
"376","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-125","HEO",26492,37316,"Policy Support Officer",1,"Finance"
"377","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-125","EO",21438,30275,"Admin support",2,"Finance"
"378","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-125","AO",17209,23567,"Finance Support Officer",0.4,"Finance"
"379","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-107","G6",57075,75035,"Not In Post",1,"Procurement"
"380","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-107","G6",57075,75035,"Senior Procurement Officer",3,"Procurement"
"381","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-107","G7",45299,61976,"Procurement Officer",6,"Procurement"
"382","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-107","G7",45299,61976,"Project Manager",2,"Procurement"
"383","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-107","G7",45299,61976,"Not In Post",1,"Procurement"
"384","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-107","SEO",33675,45769,"Procurement Officer",14,"Procurement"
"385","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-107","HEO",26492,37316,"Procurement Officer",12,"Procurement"
"386","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-107","EO",21438,30275,"Admin support",4,"Procurement"
"387","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-108","G7",45299,61976,"Procurement Officer",3,"Procurement"
"388","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-108","G6",57075,75035,"Procurement Officer",2,"Procurement"
"389","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-108","G7",45299,61976,"Senior Procurement Officer",3,"Procurement"
"390","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-PICD-108","EO",21438,30275,"Admin Support",2.5,"Procurement"
"391","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-109","G6",57075,75035,"Senior Procurement Officer",2,"Procurement"
"392","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-109","G6",57075,75035,"Pharmacist",2,"Medicine"
"393","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-109","G7",45299,61976,"Pharmacist",1.75,"Procurement"
"394","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-109","G7",45299,61976,"Procurement Officer",9,"Procurement"
"395","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-109","SEO",33675,45769,"Not In Post",3,"Procurement"
"396","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-109","SEO",33675,45769,"Procurement Officer",25,"Procurement"
"397","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-109","HEO",26492,37316,"Not In Post",2,"Procurement"
"398","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-109","HEO",26492,37316,"Procurement Officer",8,"Procurement"
"399","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-109","EO",21438,30275,"Not In Post",1,"Procurement"
"400","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-109","EO",21438,30275,"Procurement Support Officer",6,"Procurement"
"401","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-109","AO",17209,23567,"Procurement Support Officer",1,"Procurement"
"402","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-28","G6",57075,75035,"Senior Programme Manager",1,"Operational Delivery"
"403","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-28","HEO",26492,37316,"Not In Post",1,"Operational Delivery"
"404","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-28","HEO",26492,37316,"Budget, Funding etc Manager",1,"Operational Delivery"
"405","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-28","AO",17209,23567,"Not In Post",1,"Operational Delivery"
"406","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-28","AO",17209,23567,"PA Support",1,"Operational Delivery"
"407","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-118","G6",57075,75035,"Senior Policy Adviser",2.84,"Policy"
"408","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-118","G7",45299,61976,"Senior Policy Adviser",5,"Policy"
"409","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-118","G7",45299,61976,"Not In Post",0.61,"Policy"
"410","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-118","SEO",33675,45769,"Not In Post",1,"Policy"
"411","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-118","SEO",33675,45769,"Policy Adviser",3.6,"Policy"
"412","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-118","HEO",26492,37316,"Policy Adviser",2,"Policy"
"413","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-118","EO",21438,30275,"Policy Support Officer",2.78,"Policy"
"414","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-118","AO",17209,23567,"Policy Support Officer",0.83,"Policy"
"415","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-100","G7",45299,61976,"Analyst",3,"Economics"
"416","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-100","G7",45299,61976,"Analyst",2,"Statisticians"
"417","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-100","FS",29992,41546,"Analyst",1,"Statisticians"
"418","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-100","FS",29992,41546,"Analyst",1,"Economics"
"419","Department of Health","Department of Health","Strategy Finance & NHS Directorate","SF-MPI-100","SEO",33675,45769,"Analyst",1,"Statisticians"
