"","Department family","Entity","Date","Expense type","Expense area","Supplier","Transaction number","Amount","VAT registration number"
"124","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0182946",65200,""
"125","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0182973",201712,""
"126","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0183006",41865,""
"127","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-16,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","ONE TIME SUPPLIER","RESTITUTION PAYMENT 09-MAR-12",28088.09,""
"128","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-09,"HEALTHCARE FROM INDEPENDENT SECTOR","CONTRACTING FINANCE","NHS LOTHIAN","S0011757",47195,""
"129","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM INDEPENDENT SECTOR","CONTRACTING FINANCE","NHS LOTHIAN","S0013260",47195,""
"130","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-20,"ADDITIONS - ASSETS UNDER CONSTRUCTION","BS SHEET FIXED ASSETS","NORLAND MANAGED SERVICES LTD","S00227541",44172.28,""
"131","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-13,"ADDITIONS - ASSETS UNDER CONSTRUCTION","BS SHEET FIXED ASSETS","NORLAND MANAGED SERVICES LTD","S00228442",29659.08,""
"132","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-20,"BUILDING  CONTRACTS","CENTRAL FINANCE","NORLAND MANAGED SERVICES LTD","S00230097",32940.11,""
"133","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-13,"ADDITIONS - ASSETS UNDER CONSTRUCTION","BS SHEET FIXED ASSETS","NORLAND MANAGED SERVICES LTD","S00230159",36280.92,""
"134","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"ADDITIONS - ASSETS UNDER CONSTRUCTION","BS SHEET FIXED ASSETS","NORLAND MANAGED SERVICES LTD","S00231489",114315.84,""
"135","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","UNDERWOOD HALL LTD TA WENTWORTH GRANGE","UNDH001",51991.9,""
"136","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Dr Anderson & Partners","",201008.23,""
"137","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Hirst MG","",193579.2,""
"138","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"GMS","Contractual ","Ponteland MG","",174701.43,""
"139","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Brockwell MG","",122099.6,""
"140","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Dr Anderson & Partners","",116493.24,""
"141","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"GMS","Contractual ","White MG","",113945.27,""
"142","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Dr Murphy & Partners","",113185.62,""
"143","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"GMS","Contractual ","Riversdale","",102371.6,""
"144","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Bondgate Practice","",102263.54,""
"145","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Dr Cleverley & Partners","",92001.01,""
"146","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Dr Dunbar & Partners","",87605.07,""
"147","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Coquet MG","",86507.18,""
"148","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Bondgate Practice","",84450.93,""
"149","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"GMS","Contractual ","Sele MG","",82943.84,""
"150","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Bedlingtonshire MG","",81428.12,""
"151","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Infirmary Drive MG","",76965.83,""
"152","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Brockwell MG","",75360.34,""
"153","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Dr Cunningham & Partners","",74720.5,""
"154","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Dr Murphy & Partners","",70892,""
"155","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Coquet MG","",70116.56,""
"156","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Dr Allen & Partners","",66908.72,""
"157","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Dr Cleverley & Partners","",65778.74,""
"158","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Union Brae MG","",64642.61,""
"159","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Greystoke Surgery","",64607.74,""
"160","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Dr Smith & Partners","",64447.32,""
"161","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Dr Allen & Partners","",62870.91,""
"162","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Cameron & Hunt","",59656.9,""
"163","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Station MG","",58794.22,""
"164","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Union Brae MG","",57962.31,""
"165","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Belford MG","",57872.44,""
"166","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Dr Cunningham & Partners","",56774.4,""
"167","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Humshaugh & Wark MG","",54201.16,""
"168","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Coquet MG","",53588.01,""
"169","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Dr Dunbar & Partners","",51550.6,""
"170","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Dr Smith & Partners","",51110.46,""
"171","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Infirmary Drive MG","",50327.66,""
"172","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Coquet MG","",50085.47,""
"173","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Bedlingtonshire MG","",49743.6,""
"174","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Guidepost MG","",49148.81,""
"175","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Drs Brown Holding & Quayle","",49043.09,""
"176","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Tallantyre & Harrison","",47588.62,""
"177","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Tallantyre & Harrison","",46903.63,""
"178","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Station MG","",46245.72,""
"179","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Dr Feeney Corbett","",45579.38,""
"180","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Greystoke Surgery","",44687.89,""
"181","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Dr Quilliam & Partners","",43748.68,""
"182","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Bellingham Practice","",43677.79,""
"183","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Haltwhistle MG","",43446.38,""
"184","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Guidepost MG","",42430.1,""
"185","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"Ophthalmic","Stand Alone","Blyth Vision Plus","",41804.06,""
"186","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Dr Colver & Partners","",39917.96,""
"187","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Dr Ford & Partners Haydon Bridge","",39587.69,""
"188","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Dr Feeney Corbett","",39018.32,""
"189","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Drs Leith & Bourne","",38956.39,""
"190","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Lambourn & Batley","",38501.56,""
"191","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Humshaugh & Wark MG","",37167.8,""
"192","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Haltwhistle MG","",36949.56,""
"193","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Cameron & Hunt","",36924,""
"194","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Dr Colver & Partners","",36627.77,""
"195","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"GMS","Contractual ","Dr McDaid","",36176.68,""
"196","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Collingwood Practice","",35776.51,""
"197","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Belford MG","",35300.04,""
"198","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Dr Ford & Partners Haydon Bridge","",33875,""
"199","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Dr Foster & Partners","",32724.61,""
"200","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Dr Foster & Partners","",31366.47,""
"201","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Dr Quilliam & Partners","",31100.75,""
"202","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Drs Winslow & Menage","",30861.14,""
"203","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"Ophthalmic","Stand Alone","Aaron Ltd","",30031.93,""
"204","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Drs Brown Holding & Quayle","",29206.13,""
"205","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"PMS","Contractual ","Widdrington MG","",27891.73,""
"206","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Hirst MG","",27748.86,""
"207","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-28,"PMS","Contractual ","Widdrington MG","",27748.86,""
"208","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-19,"Drugs","Contractual ","Greystoke Surgery","",27514.93,""
"209","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"Ophthalmic","Stand Alone","Specsavers Cramlington","",26256.95,""
