"","Department","Entity","Date of Payment","Expense Type","Expense Area","Supplier","Transaction Number","Amount"
"135","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","PARITY RESOURCES LTD",4024093,14820
"136","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Independent Experts","Energy Markets & Infrastructure - Office of Nuclear Development","MWB BUSINESS EXCHANGE CENTRES LTD",4024094,2440
"137","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Independent Experts","Energy Markets & Infrastructure - Office of Nuclear Development","MWB BUSINESS EXCHANGE CENTRES LTD",4024094,2440
"138","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Application Support Service","Corporate Support & Shared Services - Corporate Support & Shared Services","FIVIUM LTD",4024095,1592.5
"139","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"External Training","Corporate Support & Shared Services - Corporate Support & Shared Services","CABINET OFFICE",4024098,2022.12
"140","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","XCHANGETEAM GROUP LTD",4024099,885.42
"141","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Sponsorship Support","Energy Markets & Infrastructure - Energy Development Unit","DECOM NORTH SEA",4024100,40000
"142","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Research & Development Expenditure (Programme)","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","HAYES MCKENZIE PARTNERSHIP LTD",4024102,41400
"143","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Computer Equipment (Programme)","Energy Markets & Infrastructure - Energy Development Unit","AVC MEDIA ENTERPRISES LTD",4024103,1266
"144","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Financial Advice and Services","Energy Markets & Infrastructure - DECC Commercial Team","ADAM BOND COMMERCIAL ADVISORY LTD",4024104,25326
"145","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Economic Consultancy & Research","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","NERA UK LTD",4024105,10358.75
"146","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"External Training","Energy Markets & Infrastructure - Energy Strategy and Futures","NATIONAL SCHOOL OF GOVERNMENT (CMPS)",4024106,995
"147","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Project Management Costs (Programme)","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","BUILDING RESEARCH ESTABLISHMENT LTD (BRE)",4024108,54949.99
"148","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Project Management Costs (Programme)","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","BUILDING RESEARCH ESTABLISHMENT LTD (BRE)",4024108,29696
"149","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Project Management Costs (Programme)","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","BUILDING RESEARCH ESTABLISHMENT LTD (BRE)",4024108,24374.4
"150","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Administration of Grants and Awards","Energy Markets & Infrastructure - Energy Development Unit","THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM",4024109,130381
"151","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Hire of Agency Staff (Clerical/Secretariat/Other)","DECC Private Office Group - DECC Private Office Group","Reed Personnel Services Ltd",4024110,507.73
"152","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-28,"Salaries - Permanent (Programme)","Energy Markets & Infrastructure - Security and resilience","FOREIGN AND COMMONWEALTH OFFICE (FCO)",4024114,1812.77
"153","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"External Training","Corporate Support & Shared Services - Corporate Support & Shared Services","CABINET OFFICE",4024115,2250
"154","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Capital Grants - Other","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","NATIONAL ENERGY ACTION",4024116,398147.98
"155","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","ALLEN LANE LTD",4024119,5316
"156","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Secondees (not paid directly)","Science & Innovation Group - Science & Innovation Group","UNIVERSITY OF CAMBRIDGE",4024121,11921.25
"157","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Public Relations & Marketing Advice & Services","National Climate Change & Consumer Support - Communications","TRO GROUP LTD",4024122,1512
"158","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","XCHANGETEAM GROUP LTD",4024123,708.34
"159","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Administration of Grants and Awards","Energy Markets & Infrastructure - Security and resilience","NUVIA LTD",4024126,183145.44
"160","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Administration of Grants and Awards","Energy Markets & Infrastructure - Security and resilience","NUVIA LTD",4024127,4206.09
"161","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Administration of Grants and Awards","Energy Markets & Infrastructure - Security and resilience","NUVIA LTD",4024129,38084.98
"162","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Outsourced Technical Support (Programme)","Science & Innovation Group - Science & Innovation Group","UNIVERSITY OF READING",4024130,1330.37
"163","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","FOREIGN AND COMMONWEALTH OFFICE (FCO)",4024133,15000
"164","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Grants - Current - Abroad","Energy Markets & Infrastructure - Security and resilience","NUVIA LTD",4024136,52500
"165","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Grants - Current - Abroad","Energy Markets & Infrastructure - Security and resilience","NUVIA LTD",4024137,982596
"166","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Outsourced Programme Management Services","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","AEA TECHNOLOGY plc",4024138,195701.89
"167","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Insolvency Service Policy Work","Corporate Support & Shared Services - Corporate Support & Shared Services","DEFRA",4024139,164200
"168","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Furniture","Corporate Support & Shared Services - Corporate Support & Shared Services","SENATOR INTERNATIONAL LTD",4024140,11005.96
"169","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Technical Advice / Services & Support","Corporate Support & Shared Services - Corporate Support & Shared Services","HITACHI CONSULTING UK LTD",4024142,5450
"170","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Independent Experts","Energy Markets & Infrastructure - Office of Nuclear Development","GLOBALGRANGE LTD T/A GRANGE HOTELS",4024143,2630.57
"171","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Economic Consultancy and Research","Corporate Support & Shared Services - Corporate Support & Shared Services","ISSB LTD",4024144,6930
"172","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Furniture","Corporate Support & Shared Services - Corporate Support & Shared Services","POSTURITE UK LTD",4024146,1521
"173","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Minor Works","Corporate Support & Shared Services - Corporate Support & Shared Services","DEFRA",4024149,39829.36
"174","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Outsourced Technical Support (Programme)","Science & Innovation Group - Science & Innovation Group","UNIVERSITY OF READING",4024150,575
"175","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Telecommunications","Corporate Support & Shared Services - Corporate Support & Shared Services","21ST CENTURY AV LTD",4024152,9319.02
"176","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"Entertaining UK","National Climate Change & Consumer Support - National Climate Change","CIVIL SERVICE CLUB",4024153,556.5
"177","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"Entertaining UK","National Climate Change & Consumer Support - National Climate Change","CIVIL SERVICE CLUB",4024153,592.2
"178","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Other External Recruitment Costs (Staff)","Energy Markets & Infrastructure - Office of Carbon Capture and Storage","INTERNATIONAL RESOURCES GROUP LTD T/A ODGERS BERNDTSON",4024154,4500
"179","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Information Facilities","Corporate Support & Shared Services - Corporate Support & Shared Services","GARTNER UK LTD",4024156,41800
"180","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Other IT Consultancy","Energy Markets & Infrastructure - Security and resilience","CESG",4024160,7065.19
"181","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Consultancy Advice Provided From Third Parties","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","PARITY RESOURCES LTD",4024164,11100
"182","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Independent Experts","Energy Markets & Infrastructure - Office of Nuclear Development","ATKINS LTD",4024171,1070.4
"183","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Cash Expenditure during the Year - COPD","Energy Markets & Infrastructure - Energy Development Unit","ATOS ORIGIN IT SERVICES UK LTD",4024172,12500
"184","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Technical Advice / Services & Support","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM]",4024175,3809
"185","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Technical Advice / Services & Support","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM]",4024175,30000
"186","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Energy Development Unit","ROCKFIELD SOFTWARE LTD",4024178,12917
"187","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","PARITY RESOURCES LTD",4024179,11620.75
"188","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","PARITY RESOURCES LTD",4024179,11868
"189","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Hire of Agency Staff (Clerical/Secretariat/Other)","DECC Private Office Group - DECC Private Office Group","MANPOWER UK LTD",4024183,778.5
"190","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Internal Training","Energy & Climate Change International - International Energy & Carbon Budgets","CABINET OFFICE",4024187,4417
"191","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-11,"Insolvency Service Policy Work","Corporate Support & Shared Services - Corporate Support & Shared Services","FCO SERVICES",4024188,4947
"192","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Professional Subscriptions","Corporate Support & Shared Services - Corporate Support & Shared Services","CABINET OFFICE",4024189,1382.4
"193","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"External Training","Corporate Support & Shared Services - Corporate Support & Shared Services","DYNAMIC LEARNING SOLUTIONS LTD",4024190,747.2
"194","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Sponsorship Support","Energy Markets & Infrastructure - Energy Development Unit","THE INDUSTRY TECHNOLOGY FACILITATOR",4024196,90000
"195","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-11,"Other Publication Costs","Strategy - Strategy and Delivery Unit","COI COMMUNICATIONS",4024201,1450
"196","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-11,"Other Publication Costs","Strategy - Strategy and Delivery Unit","COI COMMUNICATIONS",4024201,1450
"197","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Publications","Strategy - Strategy and Delivery Unit","COI COMMUNICATIONS",4024202,950
"198","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Publications","Strategy - Strategy and Delivery Unit","COI COMMUNICATIONS",4024202,885
"199","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Security and resilience","BROOK STREET (UK) LTD",4024208,815.16
"200","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Car Hire and Leasing","DECC Private Office Group - DECC Private Office Group","GOVERNMENT CAR AND DESPATCH AGENCY",4024212,617.55
"201","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Security and resilience","BROOK STREET (UK) LTD",4024213,829.98
"202","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Internal Training","Corporate Support & Shared Services - Corporate Support & Shared Services","NATIONAL SCHOOL OF GOVERNMENT",4024214,1210
"203","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy & Climate Change International - International Climate Change Negotiations","BROOK STREET (UK) LTD",4024217,810.9
"204","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"External Training","Energy Markets & Infrastructure - Energy Development Unit","EC-PC (SCOTLAND) LTD",4024220,590
"205","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"External Training","Energy Markets & Infrastructure - Energy Strategy and Futures","IIR LTD",4024226,2474.25
"206","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"External Training","Energy Markets & Infrastructure - Energy Strategy and Futures","IIR LTD",4024227,2474.25
"207","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Press Cutting Services","National Climate Change & Consumer Support - Communications","PRECISE MEDIA MONITORING LTD",4024229,5423.16
"208","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Press Cutting Services","National Climate Change & Consumer Support - Communications","PRECISE MEDIA MONITORING LTD",4024229,5423.16
"209","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Economic Consultancy and Research","Energy Markets & Infrastructure - Office of Nuclear Development","ATKINS LTD",4024230,12222.09
"210","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-14,"External Training","Corporate Support & Shared Services - Corporate Support & Shared Services","CABINET OFFICE",4024231,1727.88
"211","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-14,"External Training","Corporate Support & Shared Services - Corporate Support & Shared Services","CABINET OFFICE",4024231,643.88
"212","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Research & Development Expenditure (Programme)","Corporate Support & Shared Services - Corporate Support & Shared Services","GB GROUP PLC",4024232,23835
"213","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Research & Development Expenditure (Programme)","Corporate Support & Shared Services - Corporate Support & Shared Services","GB GROUP PLC",4024233,15980
"214","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Research & Development Expenditure (Programme)","Corporate Support & Shared Services - Corporate Support & Shared Services","GB GROUP PLC",4024233,15890
"215","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Finance Training","Energy Markets & Infrastructure - Office of Carbon Capture and Storage","CIPFA BUSINESS LTD",4024234,2000
"216","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Professional Training","Corporate Support & Shared Services - Corporate Support & Shared Services","METHODOLOGY CONSULTANCY SERVICE",4024235,1870
"217","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"National Research Development Corporation - Grant in Aid Current","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","UNIVERSITY OF NEWCASTLE UPON TYNE",4024236,355051.5
"218","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Hire of Agency Staff (Clerical/Secretariat/Other)","Corporate Support & Shared Services - Corporate Support & Shared Services","PARITY RESOURCES LTD",4024245,8313.6
"219","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Other HR Consultancy","Corporate Support & Shared Services - Corporate Support & Shared Services","GREEN PARK INTERIM & EXECUTIVE LTD",4024246,10560
"220","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Other HR Consultancy","Corporate Support & Shared Services - Corporate Support & Shared Services","GREEN PARK INTERIM & EXECUTIVE LTD",4024246,12130
"221","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Computer Consumables","Corporate Support & Shared Services - Corporate Support & Shared Services","XMA LTD",4024248,19368.83
"222","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-11,"Office Supplies","National Climate Change & Consumer Support - Communications","PRIORITY GRAPHICS LTD",4024250,14740.8
"223","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-11,"Coal Provision Payments Suspense","Energy Markets & Infrastructure - Energy Development Unit","DECC COAL CENTRAL ACCOUNT",4024251,3e+05
"224","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Payments to Treasury Solicitors and Treasury Counsel","Corporate Support & Shared Services - Corporate Support & Shared Services","THE TREASURY SOLICITORS",4024252,26301.11
"225","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Payments to Treasury Solicitors and Treasury Counsel","Corporate Support & Shared Services - Corporate Support & Shared Services","THE TREASURY SOLICITORS",4024252,4968
"226","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Payments to Treasury Solicitors and Treasury Counsel","Corporate Support & Shared Services - Corporate Support & Shared Services","THE TREASURY SOLICITORS",4024252,827.5
"227","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Payments to Treasury Solicitors and Treasury Counsel","Corporate Support & Shared Services - Corporate Support & Shared Services","THE TREASURY SOLICITORS",4024253,2750
"228","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-11,"Research & Development Expenditure (Programme)","Science & Innovation Group - Science & Innovation Group","ECOFYS UK LTD",4024254,14846.94
"229","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-11,"DO NOT USE Grants - Non Statutory - Current - Other","National Climate Change & Consumer Support - Energy Efficiency & Consumers","AWEL AMAN TAWE",4024255,298000
"230","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-11,"National Research Development Corporation - Grant in Aid Current","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","COFELY DISTRICT ENERGY LTD",4024257,2e+05
"231","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-11,"Hire of Conference Facilities","Energy Markets & Infrastructure - Office of Carbon Capture and Storage","CENTRAL HALL WESTMINSTER LTD",4024258,2013.6
"232","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-11,"Professional Subscriptions","Science & Innovation Group - Science & Innovation Group","HM REVENUE & CUSTOMS",4024264,820
"233","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-11,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD",4024266,3600
"234","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024270,22500
"235","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024271,7500
"236","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024272,10104.02
"237","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024273,4500
"238","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD",4024276,2942.28
"239","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"External Training","Corporate Support & Shared Services - Corporate Support & Shared Services","PARTNERSHIP MEDIA GROUP LTD T/A GOVNET COMMUNICATIONS",4024277,3500
"240","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Local IT Consultancy","Corporate Support & Shared Services - Corporate Support & Shared Services","HAYS SPECIALIST RECRUITMENT LTD",4024278,2828
"241","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Salaries - Casuals (Programme)","Energy Markets & Infrastructure - DECC Commercial Team","HAYS OFFICE SUPPORT",4024279,1221.2
"242","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-11,"Outsourced Programme Management Services","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM]",4024280,216125
"243","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Hire of Agency Staff (Clerical/Secretariat/Other)","DECC Private Office Group - DECC Private Office Group","MANPOWER UK LTD",4024282,1027.62
"244","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Research & Development Expenditure (Programme)","Science & Innovation Group - Science & Innovation Group","AEA TECHNOLOGY plc",4024283,2566
"245","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"External Training","Energy Markets & Infrastructure - Energy Strategy and Futures","DELFT UNIVERSITY OF TECHNOLOGY",4024284,616.77
"246","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Secondees (not paid directly)","Energy Markets & Infrastructure - Energy Strategy and Futures","DELOITTE LLP",4024287,22047.26
"247","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Other IT Costs","National Climate Change & Consumer Support - Communications","INTERNETSUBTITLING.COM",4024288,1000
"248","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Technical Advice","Energy Markets & Infrastructure - DECC Commercial Team","GREEN PARK INTERIM & EXECUTIVE LTD",4024289,26450
"249","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Outsourced Technical Support (Programme)","Energy Markets & Infrastructure - Office of Carbon Capture and Storage","GREEN PARK INTERIM & EXECUTIVE LTD",4024292,10473.5
"250","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Hire of Conference Facilities","Science & Innovation Group - Science & Innovation Group","THE ROYAL SOCIETY",4024293,1090.8
"251","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Grant in Aid - Current -Other","National Climate Change & Consumer Support - Energy Efficiency & Consumers","MIDDLESBROUGH COUNCIL",4024295,391798
"252","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Publications","Corporate Support & Shared Services - Corporate Support & Shared Services","BLACKWELL UK LTD",4024296,2164.79
"253","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Technical Advice / Services & Support","Energy Markets & Infrastructure - Energy Development Unit","COI COMMUNICATIONS",4024299,18701.72
"254","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","ADECCO UK LTD",4024301,735.53
"255","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Secondees (not paid directly)","National Climate Change & Consumer Support - National Climate Change","ERNST & YOUNG LLP",4024302,4489.2
"256","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Cash Expenditure during the Year - Other Coal Non-Health Provisions","Energy Markets & Infrastructure - Energy Development Unit","CAPITA BUSINESS SERVICES LTD",4024308,103221.95
"257","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Hire of Agency Staff (Clerical/Secretariat/Other)","DECC Private Office Group - DECC Private Office Group","Reed Personnel Services Ltd",4024309,503.94
"258","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Cash Expenditure during the Year - Other Health Related Provisions","Energy Markets & Infrastructure - Energy Development Unit","CAPITA BUSINESS SERVICES LTD",4024310,333856
"259","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Technical Advice","Energy Markets & Infrastructure - DECC Commercial Team","KPMG LLP",4024311,9557.6
"260","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Secondees (not paid directly)","National Climate Change & Consumer Support - National Climate Change","ERNST & YOUNG LLP",4024315,12857.96
"261","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Financial Advice and Services","Energy Markets & Infrastructure - DECC Commercial Team","ERNST & YOUNG LLP",4024316,16531.3
"262","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Hire of Agency Staff (Clerical/Secretariat/Other)","DECC Private Office Group - DECC Private Office Group","ADECCO UK LTD",4024317,834.62
"263","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Financial Advice and Services","Energy Markets & Infrastructure - DECC Commercial Team","ERNST & YOUNG LLP",4024318,25825
"264","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"External Legal Advice","Energy Markets & Infrastructure - DECC Commercial Team","FRESHFIELDS BRUCKHAUS DERINGER",4024319,33357.51
"265","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Economic Consultancy & Research","Energy Markets & Infrastructure - Energy Strategy and Futures","POYRY MANAGEMENT CONSULTING (UK) LTD",4024322,16666.67
"266","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Hire of Agency Staff (Clerical/Secretariat/Other)","DECC Private Office Group - DECC Private Office Group","ADECCO UK LTD",4024323,758.15
"267","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-12,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Office of Nuclear Development","ADECCO UK LTD",4024324,870.91
"268","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"DO NOT USE Grants - Non Statutory - Current - Other","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","SUFFOLK COUNTY COUNCIL",4024328,20960
"269","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"Cash Expenditure during the Year - Other Coal Non-Health Provisions","Energy Markets & Infrastructure - Energy Development Unit","BUPA WELLNESS",4024329,173464
"270","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-18,"Hire of Agency Staff (Clerical/Secretariat/Other)","Corporate Support & Shared Services - Corporate Support & Shared Services","ADECCO UK LTD",4024333,669.31
"271","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"External Training","Corporate Support & Shared Services - Corporate Support & Shared Services","CIPD ENTERPRISES LTD",4024334,1599
"272","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"Grants - Current - Abroad","Energy Markets & Infrastructure - Security and resilience","HTSPE LTD",4024337,56274
"273","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"Professional Subscriptions","Corporate Support & Shared Services - Corporate Support & Shared Services","STONEWALL EQUALITY LTD",4024338,1800
