CODICE_MUSEO,CODICE_SEDE,PROVINCIA_SEDE,COMUNE_SEDE,DENOMINAZIONE_MUSEO,DENOMINAZIONE_SEDE,INDIRIZZO_SEDE,FRAZIONE_SEDE,CAP_SEDE,TELEFONO_SEDE,FAX_SEDE,EMAIL_SEDE,SITO_WEB_SEDE,SITO_WEB_SEDE_1,NOTE_SEDE,TIPO_RICONOSCIMENTO,TIPOLOGIA_MUSEO,TIPOLOGIA_ENTE_PROPRIETARIO,APERTURA_SEDE,TIPO_CHIUSURA,MOTIVAZIONE_CHIUSURA_TEMPO_DET,NOTE_APERTURA,DESCRIZIONE_ORARI_APERTURA,CHIUSURA_SETTIMANALE,NOTE_ORARI_APERTURA,PARCHEGGI_VICINI,PARCHEGGI_PERS_DISABILITA,BIGLIETTERIA,GUARDAROBA,AREA_ACCOGLIENZA,BOOKSHOP,CAFFETTERIA,AREA_ASSISTENZA_INFANZIA,NOTE_SPAZI_SERVIZIO_PUBBLICO,LABORATORIO_FOTOGRAFICO,LABORATORIO_RESTAURO,LABORATORIO_PREPARAZIONE,LABORATORIO_ANALISI,NOTE_LABORATORI,SERVIZI_IGIENICI,SERV_IG_PERS_DISABILITA,DOTAZ_INFORMATICHE_STUDIO,DOTAZ_INFORMATICHE_AREE_ESP,TIPO_ACCESSO_PERS_DISABILITA,GRATUITO_PAGAMENTO,GIORNO_INGRESSO_GRATIS,PREZZO_INTERO_EURO,PREZZO_RIDOTTO_EURO,PREZZO_GRUPPI_EURO,PREZZO_SCUOLE_EURO,PREZZO_ALTRO_EURO,BIGLIETTO_CUMULATIVO,FIDELIZZAZIONE,ABBONAMENTO,NOTE_MODALITA_ACCESSO,ANNO_RIF_VISITATORI,TOTALE_VISITATORI,SINGOLI,UNDER_18_OVER_65,GRUPPI_SCOLASTICI,GRUPPI_ORGANIZZATI,NOTE_AFFLUENZA_PUBBLICO,STORICO_VISITATORI,DOTATO_CARTA_SERVIZI,SERVIZIO_EDUCATIVO,BIBLIOTECA,FOTOTECA,ARCHIVIO,DEPOSITI_CONSULTABILI,ALTRO,NOTE_SERVIZI_UTENTI,DISP_SERVIZI_ONLINE,PRENOTAZIONE_ONLINE,ACQUISTI_ONLINE,CONSULTAZIONE_ARCHIVI_ONLINE,NOTE_SERVIZI_ONLINE,WGS84_X,WGS84_Y,LOCATION
2292,2345,MI,MILANO,MUSEO DI SANT'EUSTORGIO,Museo della Basilica di Sant'Eustorgio,"Piazza Sant'Eustorgio, 1-3",,20122,02 89402671,02 89402671,parrocchia@santeustorgio.it,,,,Raccolta Museale,Composito,ENTE ECCLESIASTICO,SI,,,,"IL MUESO è APERTO TUTTI I GIORNI DALLE ORE 10,00 ALLE ORE 18.00",APERTO TUTTI I GIORNI,"iL MUSEO è APERTO SU RICHIESTA, PER PARTICOLARI EVENTI ANCHE ALLA SERA",SI,SI,SI,NO,SI,SI,SI,SI,Gli spazi attigui al museo fanno parte dell'oratorio della Parrocchia dove i bambini possono sostare e partecipare alle attività ludico-educative dove è possibile usufruire anche di servizio di ristoro.,NO,SI,NO,NO,"Convenzione con la ditta C.R. Conservazione e Restauri s.r.l., a titolo gratuito, per la normale manutenzione e movimentazione delle opere.",SI,SI,SI,NO,ACCESSO PARZIALE,A PAGAMENTO,giornata dei musei e festa di San Pietro Martire (28 aprile),6,4,,1,3,SI,NO,NO,"- L'ingresso è ridotto per fasce d'età: studenti scuole d'obbligo e superiori 1euro, studenti universitari 3euro
- L'ingresso è gratuito per clero, religiosi e per motivi devozionali
- Il biglietto d'ingresso al museo è acquistabile anche presso le altre sedi m",2019,22440,16416,,1622,4402,Dati comprensivi 1816 visitatori con biglietto cumulativo Museo Diocesano,(2019:22440)|(2018:24768)|(2017:31439)|(2016:26356)|(2015:29482),NO,SI,SI,SI,NO,NO,SI,"I testi residui della BIBLIOTECA STORICA del Convento Domenicano, di argomento filisofico e teologico, sono raccolti ed ordinati in un'apposita sala attrezzata per la consultazione   solo su appuntamento e previa autorizzazione del Parroco.
La documentazione corrente (archivio fotografico delle opere presenti nel complesso monumnetale, testi e copia documenti d'archivio) è consultabile su richiesta presso la società C.R. conservazione e restauro s.r.l. con cui la parrocchia è convenzionata.",SI,SI,NO,NO,"Dal Sito Web della Parrocchia di Sant'Eustorgio è possibile accedere alla sezione dedicata alle opere del Museo (quadreria del lascito Marone  e sezione archeologica con raccolta epigrafica).
E' in corso la creazione di un nuovo sito Web realizzato in collaborazione con il Museo Diocesano che illustra l'insieme delle due realtà museali denominata Museo dei Chiostri.",9.1810415,45.4536972,"(45.4536972, 9.1810415)"
62,2482,BS,BRESCIA,MUSEO CIVICO DI SCIENZE NATURALI,Specola Astronomica Cidnea,Castello,,25100,0302978672,0302978597,museo.scienze@comune.brescia.it,http://www.comune.brescia.it,,Il n. telefonico 030 2978672 è da utilizzare per informazioni e prenotazioni visite presso la Specola,Raccolta Museale,Storia Naturale e scienze naturali,COMUNE,SI,,,"L'osservazione astronomica si effettua ogni venerdì sera, con inizio alle ore 21.00, preceduta da una conversazione informativa. Per l'osservazione del cielo la prenotazione è necessaria (capienza max. 20 persone) e la visita è gratuita. Nella fascia diurna la specola viene utilizzata per attività educative su prenotazione rivolte a studenti di ogni ordine e grado.","Ogni venerdì sera dalle ore 21:00 per l'osservazione pubblica del cielo.
In fascia diurna la Specola viene aperta alle scolaresche in base alle prenotazioni delle attività educative.
La struttura è aperta al pubblico anche una domenica al mese, ad esclusione del periodo invernale. Alcune domeniche all'anno si svolgono iniziative indirizzate alle famiglie.",,,SI,SI,NO,NO,SI,NO,NO,NO,,NO,NO,NO,NO,,SI,SI,,,ACCESSO PARZIALE,GRATUITO,,,,,,,NO,NO,NO,,2019,6464,2988,,2786,690,,(2019:6464)|(2018:18128)|(2017:17797)|(2016:19476)|(2015:11600),NO,SI,SI,NO,NO,SI,SI,"Specola Astronomica Cidnea
Biblioteca condivisa con il Servizio Biblioteche del Settore Cultura",SI,NO,NO,SI,"Sul sito del Museo è possibile visionare gli orari di apertura del Museo e il calendario delle attività, scaricare gratutitamente schede didattiche e tutti gli articoli pubblicati nei periodici scientifici editi dal Museo stesso.",10.224698,45.542708,"(45.542708, 10.224698)"
61,2909,BS,BRESCIA,CIVICI MUSEI DI ARTE E STORIA,Capitolium,"VIA DEI MUSEI, 57",,25121,0302977833,,santagiulia@bresciamusei.com,http://www.bresciamusei.com,,,Museo,Composito,ENTE LOCALE E SUE FORME ASSOCIATIVE E CONSORTILI,SI,,,,"Da Marzo a settembre: da martedì a domenica ore 11.00-19.00 (ultimo ingresso ore 18.00)
Da Ottobre a febbraio:  venerdì-sabato-domenica ore 10.00-17.00 (ultimo ingresso ore 16.00)",lunedì,,NO,SI,SI,SI,SI,SI,NO,NO,Nella zona di accoglienza è presente un distributore automatico di snck e di bevande.,NO,NO,NO,NO,,SI,SI,NO,NO,ACCESSO TOTALE,A PAGAMENTO,,10,5.5,7.5,3,,NO,SI,SI,"i prezzi del biblitetto inseriti nei punti precedenti si riferiscono al biblietto del solo museo santa Giulia, vi sono poi altri pressi per il museo delle armi, per il parco archeologico e per le mostre temporanee, sia per la visita al singolo museo che per combinazioni di più eventi. 
La desiderio card è la forma di fidelizzazione applicata ai musei della città.
L'acquisto del biglietto è possibile, oltre che presso le biglietterie museali, anche online.",2019,215414,151237,,52748,11429,"la cifra dei visitatori in ""gruppo organizzato"" si riferisce ad una stima",(2019:215414)|(2018:213295)|(2017:220153)|(2016:202400)|(2015:154817),SI,SI,NO,SI,SI,SI,NO,,SI,SI,NO,SI,"Disponibili in occasione di mostre temporanee
l'acquisto del biglietto, la prenotazione di visite guidate con eventuale assistenza culturale e la partecipazione ai laboratori didattici.
é disponibile la banca dati",10.22601105,45.53946957,"(45.53946957, 10.22601105)"
2464,2509,BG,CLUSONE,MAT MUSEO ARTE TEMPO,MAT MUSEO ARTE TEMPO,Via Clara Maffei 3,,24023,034625915,,info@museoartetempo.it,http://www.museoartetempo.it,,,Raccolta Museale,Arte,ENTE PUBBLICO,SI,,,"orari:
venerdì: 15,30 - 18,30
sabato: 10,00-12,00  - 15,30-18,30
domenica: 10,00-12,00  - 15,30-18,30","venerdì 15,30-18,30
sabato 10-12 / 15,30-18,30
domenica 10-12  / 15,30-18,30

L'orario di apertura è di 13 ore settimanali per tutto l'anno.",,"Nel periodo estivo e durante le festività (Natale, Pasqua e ponti) vengono effettuate aperture straordinarie (in quanto località turistica). 
Il Museo viene eventualmente aperto anche in settimana per visite guidate programmate e prenotate secondo le modalità previste.",SI,SI,NO,SI,SI,SI,NO,NO,,NO,NO,NO,NO,,SI,SI,SI,SI,ACCESSO TOTALE,GRATUITO,,,,,,,NO,NO,NO,,2019,3961,3095,,640,226,Il numero dei visitatori under 18 e over 60 non è disponibile.,(2019:3961)|(2018:4316)|(2017:5544)|(2016:4000)|(2015:5791),NO,SI,NO,SI,NO,NO,NO,,NO,NO,NO,NO,,9.9474663,45.8900169,"(45.8900169, 9.9474663)"
2211,2669,PV,SANTA CRISTINA E BISSONE,MUSEO CONTADINO della BASSA PAVESE,Museo Contadino della Bassa Pavese,Piazza XXV Aprile,,27010,0382 70121,,museocontadino@comune.santacristinaebissone.pv.it,,,,Raccolta Museale,Etnografica e Antropologica,ENTE LOCALE E SUE FORME ASSOCIATIVE E CONSORTILI,SI,,,,"giovedi ore 9-12
venerdi ore 9-12
sabato ore 14-16,30
domenica ore 9,30-12",,"orario estivo: 
martedì, giovedì e venerdì ore 9,30-12 mercoledì e sabato ore 14,30-17
domenica ore 9-12",SI,SI,NO,NO,SI,SI,NO,NO,caffetteria a 50 mt.,NO,NO,NO,NO,,SI,NO,NO,NO,ACCESSO TOTALE,GRATUITO,sempre,,,,,,NO,NO,NO,"è gradita l'offerta.
Campagna annuale dei Sostenitori del Museo",2019,521,125,319,300,96,NESSUNA,(2019:521)|(2018:1366)|(2017:812)|(2016:1120)|(2015:1070),NO,NO,SI,SI,SI,NO,SI,Proprie Mostre fotografiche a tema,SI,SI,NO,SI,,9.362552,45.2047895,"(45.2047895, 9.362552)"
3959,3856,MI,MILANO,CAL-Collezione Antropologica Labanof,CAL,"Via Luigi Mangiagalli, 37",,,,,,,,,Raccolta Museale,Specializzato,UNIVERSITA' STATALI - NON STATALI,SI,,,,Orario di apertura al pubblico dalle 10.00 alle 12.00.,sabato e domenica,,SI,SI,NO,NO,SI,NO,NO,NO,,NO,NO,SI,SI,,SI,SI,,,ACCESSO TOTALE,GRATUITO,,,,,,,NO,NO,NO,,2019,1014,648,,319,47,,(2019:1014)|(2018:627)|MUSEO RICONOSCIUTO NEL 2018,,NO,NO,NO,SI,NO,SI,Sito on line,SI,NO,NO,SI,,9.229293,45.474453,"(45.474453, 9.229293)"
2207,2364,PV,VOGHERA,CIVICO MUSEO DI SCIENZE NATURALI,Civico Museo di Scienze Naturali,"Via Gramsci, 1",,27058,0383/336526-25,0383/336527,museoscienze@comune.voghera.pv.it,http://www.comune.voghera.pv.it,,,Museo,Storia Naturale e scienze naturali,ENTE PUBBLICO,SI,,,"Orari di apertura:
Martedì:   ore 9.15/12.30 e 14.00/17.00
Mercoledì: ore 9.15/12.30 
Giovedì    ore 9.15/12.30 e 14.00/17.00 
Venerdì:   ore 9.15/12.30 e 14.00/17.00
Sabato:    ore              14.00/17.00","Martedì:   ore 9.15/12.30 e 14.00/17.00
Mercoledì: ore 9.15/12.30  
Giovedì:   ore 9.15/12.30 e 14.00/17.00
Venerdì:   ore 9.15/12.30 e 14.00/17.00
Sabato:    ore              14.00/17.00",,,SI,SI,NO,NO,SI,NO,NO,NO,"E' in allestimento un book-shop.
Distributori automatici di bevande a disposizione presso l'attigua biblioteca civica.",NO,NO,SI,SI,,SI,NO,SI,NO,ACCESSO TOTALE,GRATUITO,,,,,,,,,,,2019,7950,,,1800,,stimato perché non tutti i visitatori firmano il registro visite e non è previsto biglietto d'ingresso,(2019:7950)|(2018:7850)|(2017:7500)|(2016:7000)|(2015:7800),SI,SI,SI,SI,NO,SI,NO,,SI,NO,NO,SI,,9.0060618,44.9898809,"(44.9898809, 9.0060618)"
2319,2378,VA,BIANDRONNO,MUSEI CIVICI DI VARESE,Museo e Area archeologica Isolino Virginia,Via Marconi,,21024,3346659567,,cspa@alice.it,https://www.comune.varese.it/museo-civico-preistorico,,Il Museo è distaccamento del Museo Archeologico di Villa Mirabello.,Museo,Composito,COMUNE,SI,,,Si tratta di un'apertura stagionale nei fine settimana e nei festivi da aprile a novembre e tutto l'anno su appuntamento.,"Da aprile a novembre: sabato, domenica e festivi 14.00-18.00.
Aperto tutto l'anno su prenotazione.",,,NO,NO,SI,NO,NO,SI,SI,NO,"La biglietteria e il bookshop, dato che lo spazio del museo è molto ridotto, si trovano sempre a pian terreno nella saletta ove è visibile l'acciottolato della Cultura della Lagozza. Il ristorante-bar è sull'Isola ed è posto in una struttura a parte.",NO,NO,NO,NO,,SI,NO,NO,NO,ACCESSO PARZIALE,A PAGAMENTO,in occasione di particolari eventi,4,2,2,1,0,NO,NO,NO,"Per la sezione risorgimentale a Villa Mirabello l'ingresso è € 2.
Per l'Isolino Virginia l'accesso al museo è pari ad € 2 (intero) ed € 1 (ridotto; per le scuole dei comuni che si affacciano sul lago ogni 10 biglietti uno è gratuito.
Esiste un biglietto cumulativo per tutti i musei civici ad € 5.
Il biglietto ridotto si applica alle convenzioni.",2019,31842,18942,,6851,6049,I dati relativi ai visitatori under 18 e over 60 non sono rilevati.,(2019:31842)|(2018:28997)|(2017:27600)|(2016:33208)|(2015:20502),NO,SI,SI,SI,SI,SI,NO,"La biblioteca del C.S.P.A. e quella d'arte, con sede presso Villa Mirabello, è aperta al pubblico al martedì e al giovedì pomeriggio. Gli altri servizi sono su appuntamento",SI,SI,SI,SI,"Per il museo archeologico è attivo www.cspa-va.it.Oltre alle informazioni di carattere generale, sul sito internet comunale è disponibile un collegamento alle pagine del Castello di Masnago aggiornate sulle attività in corso; esiste un portale www.varesecultura.it in cui si trovano le descrizioni di tutti i musei, oltre che le attività di ognuno aggiornate sul calendario così come le attività culturali in generale promosse dall'Assessorato all Cultura e da asscociazionie privati operanti sul territorio.
Per quanto riguarda il Museo Archeologico di Villa Mirabello è presente nell'ambito del Si.M.Arch. www.simarch.org",8.7145088,45.820174,"(45.820174, 8.7145088)"
2519,2603,LC,LECCO,MUSEO ARCHEOLOGICO,Museo Archeologico,"CORSO GIACOMO MATTEOTTI, 32",,23900,0341.481248,0341369251,musei.scienze@comune.lecco.it,http://www.museilecco.org,,,Museo,Archeologia,ENTE LOCALE E SUE FORME ASSOCIATIVE E CONSORTILI,SI,,,,"Dal martedì a venerdì: 9.30 - 14.00. 
Sabato e domenica: 10-18
Chiuso il lunedì",Lunedì,"Si effettuano aperture straordinarie per attività culturali e didattiche perticolari (esempio: Giornata dei nonni, FAI il pieno di cultura, Settimana dei Beni Culturali, Giornate europee del patrimonio) e in altri pomeriggi o sere per particolari progetti con Istituti scolastici, Enti o Associazioni.",SI,SI,NO,NO,SI,SI,NO,NO,,NO,NO,NO,NO,,SI,SI,NO,SI,ACCESSO TOTALE,A PAGAMENTO,no,6,4,4,4,2,SI,SI,SI,Per le scuole dell'obbligo della città di Lecco è stato introdotto un bliglietto ridotto speciale di € 2,2019,5456,3170,1880,370,36,"Esclusi i partecipanti a manifestazioni organizzate in situ, con ingresso gratuito anche ai Musei",(2019:5456)|(2018:5909)|(2017:2668)|(2016:2165)|(2015:2427),NO,SI,SI,SI,SI,SI,NO,"La Biblioteca Specializzata del Museo Archeologico è una Sezione della Biblioteca Specializzata del Si.M.U.L., collocata a Villa Manzoni.",NO,NO,NO,NO,Le Collezioni sono visionabili all'interno del Si.R.Be.C..,9.3900705,45.8529825,"(45.8529825, 9.3900705)"
463,3849,BS,PASPARDO,"MUSEO DIDATTICO DELLA RISERVA NATURALE E INCISIONE RUPESTRI CETO, CIMBERGO E PASPARDO",Area musealizzata di Sottolaiolo,loc. Sottolaiolo,sottolaiolo,,,,,,,area musealizzata di Sottolaiolo con rocce istoriate. L'area è organizzata con accesso facilitato per ipovedenti e difficoltà motorie.,Museo,Archeologia,ENTE LOCALE E SUE FORME ASSOCIATIVE E CONSORTILI,SI,,,"area sempre aperta, dotata di videosorveglianza",sempre aperto,area sempre aperta,,,,NO,NO,SI,NO,NO,NO,"Tutti i servizi accessori per il pubblico (biglietteria, guardaroba etc.) sono collocati nella sede museale centrale",NO,NO,NO,NO,,NO,,NO,SI,ACCESSO TOTALE,A PAGAMENTO,,3,,,,,NO,SI,NO,Si è chiesta l'adesione al sistema Abbonamenti Museo Lombardia,2019,16796,14116,2815,2387,293,4.650 ing. Per manifestazioni e 6500 ingressi senza controllo nell'area archeoloogica,(2019:16796)|(2018:16920)|(2017:17361)|(2016:17300)|(2015:11000),SI,SI,SI,NO,SI,SI,NO,"Biblioteca, fototeca,archivio  si trovano presso il Centro camuno di Studi Preistorici (biblioteca specializzata con oltre 35.000 volumi). Presso il Museo è attiva una piccola biblioteca informativa.",SI,NO,NO,SI,Visita del Museo virtuale attraverso il sito internet della Riserva-Museo.,10.36673839,46.03376785,"(46.03376785, 10.36673839)"
2204,2902,PV,PAVIA,SISTEMA MUSEALE DI ATENEO,Museo Camillo Golgi,"Piazza Botta, 10",,27100,0382986491,,paolo.mazzarello@unipv.it,http://museocamillogolgi.unipv.eu,,,Museo,Composito,UNIVERSITA' STATALI - NON STATALI,SI,,,Dal 2016 il museo apre regolarmente un giorno alla settimana,"il museo apre al pubblico il mercoledì mattina dalle 9,30 alle 12,30. Offre aperture straordinarie in occasione di manifestazioni e di convegni di settore organizzati dalle strutture dell'Ateneo",il museo è aperto solo il mercoledì mattina. è possibile visitarlo negli altri giorni su prenotazione,,SI,SI,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,SI,SI,SI,NO,ACCESSO TOTALE,A PAGAMENTO,,6,4,,,,NO,NO,NO,"Dal 23 aprile 2016 l'accesso ai musei universitari è a pagamento. Il biglietto d'ingresso, di € 6 (ridotto € 4) ha validità un mese e dà diritto all'accesso a tutti i musei.
L'ingresso è gratuito per gli studenti fino a 26 anni, gli over 65 e i portatori di disabilità. Le scuole accedono gratuitamente e pagano solo la visita guidata € 3 per alunno",2019,29463,,,,,"Dati stimati. Attualmente solo il Museo Kosmos è dotato di biglietteria automatizzata che fornisce reportistica dettagliata. A partire da marzo 2020 è previsto che tutti i Musei acquisiscano un sistema di biglietteria automatizzato, consentendo l'inserimento di dati parziali.",(2019:29463)|(2018:15268)|(2017:10594)|(2016:22194)|(2015:16677),NO,SI,SI,NO,SI,NO,NO,,SI,NO,NO,SI,"E' stato realizzato un sito internet (musei.unipv.eu) dedicato a tutte le collezioni conservate presso l'Università di Pavia, nel quale è possibile reperire informazioni su ubicazione, storia e consistenza delle collezioni, accedere, ove presenti, ai cataloghi informatizzati e compiere, in alcuni casi, visite virtuali.",9.15079855,45.18800104,"(45.18800104, 9.15079855)"
161,327,CO,LANZO D'INTELVI,Museo d'Arte Sacra di Scaria,Museo d'Arte Sacra di Scaria,Piazza Carloni,Scaria,22020,031840241,031839961,donremo.giorg@libero.it,http://www.museodiscaria.it,,,Raccolta Museale,Arte,ENTE ECCLESIASTICO,SI,,,,"Venerdi ore 9.30 / 12.00
Sabato 15.00 / 18.00
Domenica 10.30 / 12.00 e 15.00 / 18.00",,Apertura stagionale da aprile a ottobre.,SI,NO,SI,NO,SI,SI,NO,NO,Area ritrovo gruppi però all'esterno del museo;,NO,NO,NO,NO,,SI,SI,NO,NO,ACCESSO TOTALE,GRATUITO,,,,,,,NO,NO,NO,Il visitatore lascia un'offerta all'entrata del Museo.,2019,976,366,,,610,,(2019:976)|(2018:602)|(2017:780)|(2016:0)|(2015:300),SI,SI,NO,SI,SI,NO,NO,E' in corso di allestimento una postazione informatica per attività di consultazione.,NO,NO,NO,NO,,9.0456439,45.98637574,"(45.98637574, 9.0456439)"
2364,2610,BS,MAGASA,MUSEO DEL PARCO ALTO GARDA BRESCIANO - CENTRO VISITATORI,Museo Etnografico della Valvestino,Località Cima Rest,,25088,0365745007,0365745821,info@consorzioforestalevalvestino.com,http://www.comune.magasa.bs.it,,,Museo,Territoriale,ENTE PUBBLICO,SI,,,Apertura estiva e su prenotazione durante il resto dell'anno,"Tutte le domeniche da giugno a settembre dalle 14,30 alle 17.30",,,SI,SI,NO,NO,NO,NO,NO,NO,Il museo è realizzato all'interno di un tipico fienile ed è interamente dedicato all'esposizione museale,NO,NO,NO,NO,,SI,NO,NO,NO,ACCESSO PARZIALE,A PAGAMENTO,"Durante particolari eventi quali convegni, manifestazioni culturali",5,4,4,3,3,NO,NO,NO,"Il biglietto al costo di€ 3,00 si applica ai possessori di Riviera Card e Promotion Card. E'possibile acquistare dei biglietti voucher presso l'ufficio informazioni di Tignale",2019,512,344,,,,,(2019:512)|(2018:949)|(2017:740)|(2016:1108)|(2015:2492),SI,SI,SI,NO,NO,NO,SI,"Il percorso museale si completa con un percorso circolare esterno in cui ERSAF ha realizzato l'Osservatorio Naturalistico della biodiversità, visitabile a tutti e dove è possibile condurre osservazioni e raccogliere dati che vengono poi rielaborati nei laboratori didattici organizzati dal Museo. Inoltre nel 2014 è stato realizzato un percorso avventura denominato Flying frogs che integra i percorsi didattici con momenti ludici e offre ai visitatori la possibilità di prolungare la visita al Museo e alle strutture ad esso connesse.",SI,SI,NO,NO,"Possibilità di prenotare via e_mail.
Nel portale del Parco è presente una sezione dedicata al Museo del Parco Alto Garda Bresciano - Centro Visitatori  con tutte le informazioni necessarie e i moduli per la prenotazione.",10.2229562,45.5398382,"(45.5398382, 10.2229562)"
22,41,BG,BERGAMO,MUSEO CIVICO ARCHEOLOGICO,Civico Museo Archeologico,"Piazza Cittadella, 9",,24129,035286070,035286079,archeomuseo@comune.bg.it,http://www.museoarcheologicobergamo.it,,"Si veda anche www.altomedioevolombardo.it, dove il Museo compare attraverso le sue collezioni altomedievali.",Museo,Archeologia,ENTE LOCALE E SUE FORME ASSOCIATIVE E CONSORTILI,SI,,,"Gli orari di apertura sono:
ottobre-marzo: 9-12,30 / 14,30-18
aprile-settembre: martedì-venerdì 9-12,30 / 14,30-18; sabato e domenica 9-19.
giugno-settembre: martedì-venerdì 9-12,30 / 14,30-18; sabato 9-24; domenica 9-19.
Chiuso sempre il lunedì, tranne festivi, e 25 dicembre, 1 gennaio.","Aprile - Settembre: 9.00 - 12.30 / 14.30 - 18.00
Sabato e festivi: 10.00 - 13.00 / 14.30 - 18.30 
Chiuso: lunedì 

Ottobre - Marzo: 9.00 - 12.30 / 14.30 -  17.30
Sabato e festivi: 10.00 - 12.30 / 14.30 - 17.30 
Chiuso: lunedì, 1 gennaio, 25 dicembre",lunedì,,SI,SI,NO,NO,SI,SI,NO,NO,"L'ingresso al Museo è gratuito, dunque non esiste la biglietteria, sostituita da un banco di accoglienza dei visitatori, dove è possibile assumere informazioni, acquistare volumi e cartoline edite dal Museo e dove avviene la registrazione dei visitatori, sia singoli, sia in gruppo.",NO,NO,NO,NO,"Il Museo non è dotato dei suddetti laboratori, in quanto per gli interventi di restauro, per le analisi e per le riprese fotografiche ci si rivolge a ditte esterne.",SI,SI,SI,NO,ACCESSO TOTALE,A PAGAMENTO,,3,,,,,SI,SI,SI,"Il biglietto intero è cumulativo per museo di Scienze ed Archeologico.

Abbonamento annuale (cumulativo per museo di scienze ed Archeologico € 10 
Abbonamento (amico Musei)                                                        € 20 
Abbonamento (sostenitore musei)                                                € 40 

E' previsto l'ingresso gratuito per: 
Giovani al di sotto dei 18 anni 
disabili ed accompagnatori 
Scolaresche (previa prenotazione)",2019,9258,5923,,2654,,,(2019:9258)|(2018:14355)|(2017:13952)|(2016:15433)|(2015:20664),NO,SI,SI,SI,SI,SI,NO,,SI,SI,SI,SI,"I servizi online riguardano i programmi educativi rivolti alle scuole, che possono essere scaricati e riguarderanno a breve anche la possibilità di sapere quali riviste (annate e numeri) sono consultabili presso il Museo. I libri schedati sono presenti online nel sistema bibliotecario urbano e sono disponibili per il prestito interbibliotecario.",9.6593875,45.7057724,"(45.7057724, 9.6593875)"
2561,2675,BS,OME,CASA MUSEO PIETRO MALOSSI,Casa museo Pietro Malossi,Via Maglio 51,,25050,3333567614,,fondazionemalossi@libero.it,http://valtrompia.cosedafare.net,,"La Casa museo è sita nel Borgo del Maglio, che è collocato sul confine meridionale del territorio di Ome, ai piedi del pendio boscoso del Monte Delma. E' attraversato dalla roggia Molinara, che muoveva le ruote di un mulino da cereali e di un maglio da ferro, probabilmente esistenti fin dal XV secolo. Accanto alla Casa museo vi è il Museo Il Maglio Averoldi di Ome e vi sono altri edifici rurali in parte ancora da ristrutturare. Nella casa in cui abitava Andrea Averoldi, l'ultimo fabbro che ha lavorato al maglio, vi è la Casa Museo Pietro Malossi, che ospita le collezioni lasciate nel 1997 dall'antiquario bresciano alla Fondazione che porta il suo nome. La cultura e il gusto di Pietro Malossi sono testimoniate dagli arredi e dalle suppellettili, dai quadri e dalle incisioni, da documenti e reperti di genere e provenienza diversi.",Raccolta Museale,Casa-Museo,ENTE DI DIRITTO PRIVATO,SI,,,"Il museo è stato aperto il 16 maggio 2009 e l'orario di apertura è il seguente:
MARZO-OTTOBRE-NOVEMBRE: sabato 10.00-12.00, domenica e festivi 15.00-17.00; APRILE-SETTEMBRE: sabato, domenica e festivi 10.00-12.00, 15.00-18.00. 
La sede è visitabile durante la settimana su prenotazione per gruppi di almeno 15 visitatori. Prenotazione presso il Centro Unico di Prenotazione del Sistema museale di Valle Trompia.","MARZO-OTTOBRE-NOVEMBRE: sabato 10.00-12.00, domenica 15.00-17.00
APRILE-SETTEMBRE: sabato, domenica e festivi 10.00-12.00, 15.00-18.00
Chiuso dicembre, gennaio, febbraio.
Aperto su prenotazione tutti i giorni.",,,SI,SI,SI,NO,SI,SI,NO,NO,L'area per l'accoglienza è in condivisione con il Museo Il Maglio Averoldi ed è sita in un piccolo edificio che era una stalletta ed è stato recentemente ristrutturato.,NO,NO,NO,NO,,SI,SI,SI,SI,ACCESSO PARZIALE,A PAGAMENTO,"Giornate Patrimonio Europeo, inaugurazioni mostre, eventi",5,3,,,,SI,SI,SI,"Il biglietto di ingresso riguarda sia la Casa Museo che il Museo Il Maglio Averoldi, inoltre la Casa Museo è inserita nel Centro Unico di Prenotazione del Sistema museale di Valle e nel suo circuito di promozione.",2019,2745,1900,697,831,14,,(2019:2745)|(2018:2830)|(2017:2186)|(2016:3157)|(2015:3132),SI,SI,SI,SI,SI,NO,NO,,SI,SI,NO,NO,,10.1229082,45.6266378,"(45.6266378, 10.1229082)"
